,Model,accuracy,confusion,f1,precision,recall,train_size
0,MLP BoW,0.5168471199653529,"[[172.8  27.2  32.6  13.4  28. ]
 [ 20.6 243.6   7.6   5.2   2.6]
 [ 43.6  22.   54.2  18.2   8.6]
 [220.8 182.8 212.8 515.6 110.6]
 [ 81.2  17.6  43.8  16.4 207.2]]",0.4483161284411058,0.4920001022636207,0.6576414958261744,40
1,MLP BoW,0.6246804759806082,"[[323.6  25.2  78.8  18.4  55. ]
 [ 28.4 318.4  16.8  13.2  14. ]
 [ 10.    6.4  52.   11.6   3.2]
 [114.8 115.6 142.8 498.6  54.2]
 [ 52.4  19.4  55.   16.4 224.8]]",0.5719614344316826,0.5911979107705813,0.7058302352292284,80
2,MLP BoW,0.7278600269179003,"[[353.8  19.6  52.   13.4  16.6]
 [ 45.8 379.4  30.6  17.6  21.8]
 [ 38.2  12.2 117.8  21.    5.2]
 [ 56.   50.  108.  485.6  15. ]
 [ 29.2  13.6  29.2  11.6 285.8]]",0.6972104440498195,0.7084814645213551,0.7563669074342785,120
3,MLP BoW,0.7629968021927821,"[[388.6  33.6  56.2  24.   20. ]
 [ 31.4 375.4  25.8  13.   12.6]
 [ 38.   14.6 143.4  22.    5.4]
 [ 38.6  30.   85.6 470.4   7.8]
 [ 16.8  12.2  21.   10.2 292.4]]",0.7413407102818266,0.7472318790007497,0.7803330404314932,160
4,MLP BoW,0.7911586784550954,"[[409.8  33.6  50.   18.2  17.6]
 [ 16.2 369.4  18.8   9.2  10.2]
 [ 39.8  17.4 167.   30.6   8.6]
 [ 26.6  24.   80.  461.2   3.4]
 [ 12.4  12.8  10.    9.4 292.8]]",0.776436473587161,0.7779500892148898,0.8001098076688367,200
5,MLP BoW,0.8053105737316264,"[[401.2  26.4  44.8  18.   13.4]
 [ 19.2 377.4  19.4   8.8   9.4]
 [ 43.4  20.2 176.4  32.8   9.6]
 [ 21.8  14.8  68.6 453.2   3.6]
 [  9.8  10.8   9.4   6.4 290.2]]",0.7935101383383774,0.7938232917524839,0.8052810898810495,240
6,MLP BoW,0.8189463508941518,"[[401.8  22.6  36.4  15.8   9.6]
 [ 14.6 376.2  14.8   7.2   7.6]
 [ 40.8  16.  180.4  34.    8.4]
 [ 19.6  14.8  73.  444.6   2.6]
 [ 10.2  11.8   8.4   6.4 291.4]]",0.8082442132486675,0.8086599824309264,0.8150792622036933,280
7,MLP BoW,0.823656973878758,"[[393.2  23.4  34.   13.2   8.8]
 [ 10.6 370.8  13.6   7.2   6.6]
 [ 45.6  16.  183.2  36.2   9.8]
 [ 18.8  12.   67.  437.8   2.2]
 [  9.    9.8   8.4   5.6 286.2]]",0.8140868566685795,0.8143095960375065,0.8210477629915267,320
8,MLP BoW,0.8301659125188537,"[[391.   21.4  37.   14.6   8.6]
 [ 13.2 368.2  13.    7.2   7. ]
 [ 38.8  14.6 181.6  32.8  10.8]
 [ 15.6  11.   64.6 433.2   2.2]
 [  7.4   7.6   5.2   5.2 277.2]]",0.8208883637402291,0.8199993818595909,0.82768335226242,360
9,MLP BoW,0.8378655720882504,"[[382.   15.8  31.8  10.4   8. ]
 [ 10.  369.2  11.4   7.2   6.4]
 [ 44.2  15.  187.4  39.8   9.4]
 [ 13.2   6.4  58.  422.6   1.4]
 [  7.4   9.2   5.8   5.2 271.8]]",0.829543455133366,0.8297846641663137,0.8317001366569423,400
10,MLP BoW,0.8384494499738082,"[[370.4  15.8  31.4  12.6   7.4]
 [  8.8 360.6  10.    6.    5.8]
 [ 45.2  15.2 185.6  31.8  10.6]
 [ 14.4   9.4  57.6 417.2   1.6]
 [  7.8   7.2   4.8   5.  266.8]]",0.8305692514003363,0.8306918938433444,0.8357796923773841,440
