,Model,accuracy,confusion,f1,precision,recall,train_size
0,MLP Hybrid,0.41853616284105677,"[[ 80.6  17.   16.    7.8  13.2]
 [ 97.6 245.4  39.   34.4  42.6]
 [ 67.8  38.4  51.   47.8  22.6]
 [249.4 181.  228.  470.8 160. ]
 [ 43.6  11.4  17.    8.  118.6]]",0.33813471164031117,0.3912403795474486,0.4610104401765306,40
1,MLP Hybrid,0.4850594975760247,"[[218.8  41.4  42.8  18.   22.8]
 [ 19.  192.    4.4   5.   10. ]
 [ 11.2   7.4  27.6   8.    2.2]
 [245.6 228.4 256.6 522.  176. ]
 [ 34.6  15.8  14.    5.2 140.2]]",0.42631679944850465,0.44516189429475717,0.6492070232189174,80
2,MLP Hybrid,0.6001794526693585,"[[266.   41.4  47.8  27.4  26.6]
 [ 51.  314.2  20.   26.2  29. ]
 [ 47.   19.4  95.4  25.2  20.8]
 [ 97.8  74.8 140.2 449.4  55.2]
 [ 61.2  25.   34.2  21.  212.8]]",0.567023236503293,0.5785514886687153,0.6636121760154572,120
3,MLP Hybrid,0.6424851530379169,"[[333.6  52.   83.6  44.6  39.6]
 [ 63.  347.4  36.6  36.6  40.4]
 [ 46.2  18.8 102.6  32.   15.6]
 [ 45.6  37.6  95.6 412.2  32. ]
 [ 25.   10.   13.6  14.2 210.6]]",0.6111512713518567,0.6195199945477688,0.6958108349359865,160
4,MLP Hybrid,0.6354583527221964,"[[300.8  47.8  47.2  28.4  23.2]
 [ 41.2 299.   18.8  23.   21.2]
 [ 41.4  18.6 111.8  33.8  15.8]
 [ 92.   77.  134.8 435.2  53.6]
 [ 29.4  14.8  13.2   8.2 218.8]]",0.6113207363767085,0.6159250729381076,0.7220573968065036,200
5,MLP Hybrid,0.6959696538643907,"[[357.   32.   55.   25.8  25.6]
 [ 49.4 346.4  41.2  36.2  41.8]
 [ 32.6  21.2 128.   34.   14.2]
 [ 33.8  36.4  80.6 414.2  22.4]
 [ 22.6  13.6  13.8   9.  222.2]]",0.674177237065349,0.6751388910195428,0.7222499805927225,240
6,MLP Hybrid,0.7122281295311745,"[[332.6  28.8  45.   18.6  21.2]
 [ 39.2 343.2  24.6  22.   24.6]
 [ 40.2  11.  137.6  28.6  21.6]
 [ 49.   45.4  93.2 432.6  24.6]
 [ 26.   13.   12.6   6.2 227.6]]",0.6951840757359515,0.6931922632897948,0.7419663874239493,280
7,MLP Hybrid,0.736323311976343,"[[350.2  23.2  39.   16.4  14.2]
 [ 30.2 335.6  16.8  17.   19.4]
 [ 35.8  11.4 136.4  22.2  18.6]
 [ 44.2  47.2  97.8 437.   26.6]
 [ 16.8  14.6  16.2   7.4 234.8]]",0.718704971193208,0.7163125591316001,0.7490453637616452,320
8,MLP Hybrid,0.7195575666163901,"[[402.2  77.2  93.6  66.   48.8]
 [ 14.2 304.6  13.2  16.4  15.4]
 [ 29.4  17.  138.   39.8  13.2]
 [ 10.6  12.4  46.6 362.    4. ]
 [  9.6  11.6  10.    8.8 224.4]]",0.7060704872315433,0.7020436661723403,0.7778356623783279,360
9,MLP Hybrid,0.7468445356593124,"[[346.6  23.6  46.6  19.6  20.2]
 [ 28.8 351.6  23.8  22.8  27.2]
 [ 38.   12.2 133.6  32.4  13.4]
 [ 24.6  17.   68.6 400.   12.4]
 [ 18.8  11.2  21.8  10.4 223.8]]",0.726606946972875,0.7276173734500402,0.7732314306287302,400
