,Model,accuracy,confusion,f1,precision,recall,train_size
0,NBBL BoW,0.23932438284971846,"[[  0.    0.    0.    0.    0. ]
 [108.   98.4  69.4 114.6  71.4]
 [  0.    0.    0.    0.    0. ]
 [431.  394.8 281.6 454.2 285.6]
 [  0.    0.    0.    0.    0. ]]",0.07720668892370992,0.2,0.047864876569943704,40
1,NBBL TFIDF,0.23932438284971846,"[[  0.    0.    0.    0.    0. ]
 [108.   98.4  69.4 114.6  71.4]
 [  0.    0.    0.    0.    0. ]
 [431.  394.8 281.6 454.2 285.6]
 [  0.    0.    0.    0.    0. ]]",0.07720668892370992,0.2,0.047864876569943704,40
2,NBBL W2V,0.3220441749675184,"[[ 74.6  37.4  35.6  52.6  23.2]
 [ 93.2 188.2  39.2  61.2  44.8]
 [ 45.   35.   38.4  46.2  22.6]
 [253.  182.6 212.4 371.4 195.4]
 [ 73.2  50.   25.4  37.4  71. ]]",0.24763405872222136,0.29689240834779734,0.3666168108074747,40
3,NBBL Hybrid,0.264356864443482,"[[1.440e+01 1.800e+00 1.200e+00 4.000e-01 1.600e+00]
 [8.220e+01 9.320e+01 4.700e+01 7.220e+01 5.620e+01]
 [1.500e+01 6.000e+00 1.780e+01 1.340e+01 8.800e+00]
 [4.270e+02 3.918e+02 2.850e+02 4.828e+02 2.882e+02]
 [4.000e-01 4.000e-01 0.000e+00 0.000e+00 2.200e+00]]",0.11858347957260484,0.22474318354681305,0.17797372835433617,40
4,NBBL Hybrid2,0.264356864443482,"[[1.440e+01 1.800e+00 1.200e+00 4.000e-01 1.600e+00]
 [8.220e+01 9.320e+01 4.700e+01 7.220e+01 5.620e+01]
 [1.500e+01 6.000e+00 1.780e+01 1.340e+01 8.800e+00]
 [4.270e+02 3.918e+02 2.850e+02 4.828e+02 2.882e+02]
 [4.000e-01 4.000e-01 0.000e+00 0.000e+00 2.200e+00]]",0.11858347957260484,0.22474318354681305,0.17797372835433617,40
5,NBBL BoW,0.28946672542970475,"[[1.360e+01 4.000e-01 2.000e-01 2.000e-01 2.000e-01]
 [8.900e+01 9.020e+01 4.440e+01 1.700e+01 4.280e+01]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [4.258e+02 3.940e+02 3.008e+02 5.410e+02 2.962e+02]
 [8.000e-01 4.000e-01 0.000e+00 0.000e+00 1.200e+01]]",0.13150933730891476,0.2432600653093818,0.15029999539709787,80
6,NBBL TFIDF,0.28946672542970475,"[[1.360e+01 4.000e-01 2.000e-01 2.000e-01 2.000e-01]
 [8.900e+01 9.020e+01 4.440e+01 1.700e+01 4.280e+01]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [4.258e+02 3.940e+02 3.008e+02 5.410e+02 2.962e+02]
 [8.000e-01 4.000e-01 0.000e+00 0.000e+00 1.200e+01]]",0.13150933730891476,0.2432600653093818,0.15029999539709787,80
7,NBBL W2V,0.38334067871308947,"[[160.4  62.6  65.8  65.   66.2]
 [ 94.6 247.2  43.2  76.2  63. ]
 [ 35.8  21.2  40.   36.   22. ]
 [170.6 121.  162.2 343.6 121.4]
 [ 67.8  33.   34.2  37.4  78.6]]",0.3357503856201683,0.3540419511838034,0.3786310111821988,80
8,NBBL Hybrid,0.3517849272807404,"[[1.000e+02 4.340e+01 3.360e+01 2.340e+01 3.060e+01]
 [5.480e+01 1.628e+02 2.020e+01 2.660e+01 3.120e+01]
 [6.000e-01 0.000e+00 6.000e-01 2.000e-01 0.000e+00]
 [3.626e+02 2.766e+02 2.848e+02 5.042e+02 2.588e+02]
 [1.120e+01 2.200e+00 6.200e+00 3.800e+00 3.060e+01]]",0.22132159392254763,0.3040603963558571,0.4148626187100818,80
9,NBBL Hybrid2,0.3517849272807404,"[[1.000e+02 4.340e+01 3.360e+01 2.340e+01 3.060e+01]
 [5.480e+01 1.628e+02 2.020e+01 2.660e+01 3.120e+01]
 [6.000e-01 0.000e+00 6.000e-01 2.000e-01 0.000e+00]
 [3.626e+02 2.766e+02 2.848e+02 5.042e+02 2.588e+02]
 [1.120e+01 2.200e+00 6.200e+00 3.800e+00 3.060e+01]]",0.22132159392254763,0.3040603963558571,0.4148626187100818,80
10,NBBL BoW,0.32489905787348594,"[[ 56.4   1.8   6.8   1.2   3.2]
 [ 32.6 125.2  15.    5.4  30.2]
 [  0.    0.    0.    0.    0. ]
 [434.  347.8 315.8 542.6 311. ]
 [  0.    0.    0.    0.    0. ]]",0.1701032120468941,0.27264055706826473,0.22451556567525657,120
11,NBBL TFIDF,0.32489905787348594,"[[ 56.4   1.8   6.8   1.2   3.2]
 [ 32.6 125.2  15.    5.4  30.2]
 [  0.    0.    0.    0.    0. ]
 [434.  347.8 315.8 542.6 311. ]
 [  0.    0.    0.    0.    0. ]]",0.1701032120468941,0.27264055706826473,0.22451556567525657,120
