,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,LSTM Hybrid,0.2513434579439252,"[[109.6  58.2   4.8  37.   17.8   0.4  27.4]
 [  0.    0.    0.    0.    0.    0.    0. ]
 [302.8 239.8 371.8 215.  287.2 147.4 175.4]
 [147.8 159.6   4.4 141.2  23.2   0.4  45.6]
 [ 55.6  98.8 150.   76.2 139.  112.   83.4]
 [  1.6  21.    6.8  28.   16.2  99.   19.6]
 [  0.    0.    0.    0.    0.    0.    0. ]]",0.7597849845886231,0.15623629028816122,0.24557645025031977,0.19418494929941893,0.8904268741607666,40
1,LSTM Hybrid,0.5931442080378251,"[[5.688e+02 3.386e+02 1.880e+01 1.080e+02 8.700e+01 1.400e+00 1.444e+02]
 [2.360e+01 1.478e+02 2.600e+00 9.400e+00 1.540e+01 2.000e-01 1.460e+01]
 [3.000e+00 2.640e+01 4.072e+02 1.320e+01 1.450e+02 2.040e+01 3.740e+01]
 [0.000e+00 1.320e+01 1.400e+00 3.246e+02 9.600e+00 3.200e+00 2.400e+00]
 [3.800e+00 2.620e+01 7.900e+01 6.600e+00 1.538e+02 1.900e+01 4.640e+01]
 [1.000e+00 5.000e+00 1.400e+01 2.900e+01 3.020e+01 3.088e+02 6.400e+00]
 [8.200e+00 1.400e+01 9.400e+00 1.000e+00 3.740e+01 1.000e+00 9.620e+01]]",0.6183796882629394,0.5422117326724953,0.5846224503502706,0.6008735104068206,0.8216829299926758,80
2,LSTM Hybrid,0.7733253588516747,"[[5.562e+02 1.084e+02 7.200e+00 2.200e+00 5.380e+01 2.000e-01 5.580e+01]
 [2.580e+01 3.854e+02 4.600e+00 1.720e+01 2.240e+01 1.400e+00 2.180e+01]
 [1.200e+00 9.800e+00 4.250e+02 6.000e+00 2.940e+01 1.400e+00 2.400e+01]
 [0.000e+00 7.200e+00 6.000e-01 4.274e+02 9.200e+00 5.400e+00 1.800e+00]
 [5.000e+00 3.460e+01 7.000e+01 9.600e+00 2.790e+02 1.300e+01 5.180e+01]
 [0.000e+00 1.000e+00 5.600e+00 2.140e+01 1.780e+01 3.278e+02 3.400e+00]
 [1.300e+01 1.760e+01 1.160e+01 2.000e+00 6.240e+01 1.400e+00 1.852e+02]]",0.8410965919494628,0.7660181466117455,0.7659274732657015,0.7765232094193621,0.8154325008392334,120
3,LSTM Hybrid,0.8114406779661018,"[[5.348e+02 5.260e+01 6.200e+00 4.000e-01 3.300e+01 0.000e+00 4.040e+01]
 [2.960e+01 4.288e+02 4.600e+00 4.000e+00 2.380e+01 4.000e-01 2.600e+01]
 [2.600e+00 1.460e+01 4.410e+02 4.800e+00 3.840e+01 1.800e+00 3.120e+01]
 [0.000e+00 5.000e+00 1.200e+00 4.436e+02 7.000e+00 6.200e+00 2.000e+00]
 [1.540e+01 4.220e+01 5.280e+01 1.440e+01 3.130e+02 7.600e+00 4.760e+01]
 [0.000e+00 1.000e+00 4.600e+00 1.160e+01 1.360e+01 3.304e+02 3.400e+00]
 [1.080e+01 1.460e+01 7.000e+00 1.000e+00 3.940e+01 2.000e-01 1.894e+02]]",1.0523855686187744,0.8040413060869728,0.8035879789652103,0.8139600873932924,0.8091905117034912,160
4,LSTM Hybrid,0.8311274509803921,"[[5.362e+02 4.560e+01 5.400e+00 4.000e-01 3.180e+01 0.000e+00 2.980e+01]
 [2.540e+01 4.366e+02 6.400e+00 4.400e+00 2.600e+01 1.400e+00 2.820e+01]
 [2.400e+00 5.400e+00 4.272e+02 4.000e+00 1.880e+01 2.600e+00 2.480e+01]
 [0.000e+00 2.400e+00 1.800e+00 4.450e+02 6.400e+00 6.400e+00 1.200e+00]
 [1.100e+01 4.360e+01 4.600e+01 9.800e+00 3.286e+02 6.000e+00 3.580e+01]
 [0.000e+00 1.000e+00 7.800e+00 9.400e+00 1.160e+01 3.254e+02 2.200e+00]
 [1.100e+01 1.700e+01 1.700e+01 1.800e+00 3.920e+01 0.000e+00 2.138e+02]]",1.4616143703460693,0.8259900135670503,0.8254718009049059,0.830470997032705,0.7904344081878663,200
5,LSTM Hybrid,0.8462779156327545,"[[5.438e+02 3.540e+01 5.600e+00 2.000e-01 2.640e+01 0.000e+00 1.960e+01]
 [1.680e+01 4.290e+02 5.000e+00 4.000e-01 1.940e+01 0.000e+00 2.660e+01]
 [1.200e+00 4.600e+00 4.318e+02 4.600e+00 2.140e+01 3.600e+00 2.340e+01]
 [0.000e+00 2.000e+00 2.800e+00 4.438e+02 7.800e+00 9.000e+00 1.800e+00]
 [8.800e+00 3.340e+01 3.480e+01 5.400e+00 3.242e+02 2.400e+00 2.480e+01]
 [2.000e-01 8.000e-01 4.000e+00 1.040e+01 1.640e+01 3.228e+02 2.200e+00]
 [1.040e+01 3.940e+01 2.060e+01 1.600e+00 4.240e+01 0.000e+00 2.330e+02]]",1.6905888080596925,0.8403887323749475,0.8425343272723691,0.8415741322661827,0.7716939449310303,240
6,LSTM Hybrid,0.865891959798995,"[[5.484e+02 2.620e+01 6.600e+00 2.000e-01 2.760e+01 0.000e+00 1.800e+01]
 [9.000e+00 4.450e+02 5.200e+00 6.000e-01 1.900e+01 0.000e+00 2.680e+01]
 [1.000e+00 4.800e+00 4.300e+02 2.600e+00 1.540e+01 3.000e+00 1.900e+01]
 [2.000e-01 4.000e-01 2.000e+00 4.428e+02 8.000e+00 8.200e+00 1.600e+00]
 [7.600e+00 3.260e+01 3.580e+01 4.200e+00 3.336e+02 2.000e+00 2.400e+01]
 [0.000e+00 1.000e+00 4.000e+00 8.400e+00 1.020e+01 3.208e+02 8.000e-01]
 [8.200e+00 2.880e+01 1.560e+01 1.400e+00 3.700e+01 0.000e+00 2.364e+02]]",1.8963825225830078,0.8605728857234356,0.8612278633240317,0.8625406532665085,0.7779378414154052,280
7,LSTM Hybrid,0.8728371501272264,"[[5.452e+02 2.320e+01 4.800e+00 0.000e+00 2.940e+01 0.000e+00 1.280e+01]
 [7.400e+00 4.400e+02 4.400e+00 6.000e-01 2.140e+01 2.000e-01 2.500e+01]
 [1.200e+00 2.800e+00 4.290e+02 2.200e+00 1.860e+01 4.400e+00 1.320e+01]
 [0.000e+00 8.000e-01 2.000e+00 4.396e+02 7.000e+00 6.200e+00 1.000e+00]
 [3.200e+00 3.140e+01 2.640e+01 4.800e+00 3.230e+02 1.600e+00 1.800e+01]
 [0.000e+00 0.000e+00 3.600e+00 5.800e+00 7.600e+00 3.158e+02 8.000e-01]
 [1.000e+01 3.520e+01 2.300e+01 1.000e+00 3.860e+01 2.000e-01 2.516e+02]]",2.136471223831177,0.8684569797458808,0.8702282610089325,0.8699918468952419,0.7717125892639161,320
8,LSTM Hybrid,0.8776417525773196,"[[5.306e+02 1.580e+01 2.200e+00 0.000e+00 1.920e+01 0.000e+00 1.000e+01]
 [1.300e+01 4.460e+02 5.000e+00 2.600e+00 2.160e+01 4.000e-01 2.980e+01]
 [1.400e+00 3.200e+00 4.290e+02 1.600e+00 1.860e+01 3.200e+00 1.640e+01]
 [0.000e+00 0.000e+00 1.800e+00 4.324e+02 6.400e+00 4.800e+00 1.000e+00]
 [6.600e+00 3.200e+01 2.580e+01 5.400e+00 3.326e+02 3.400e+00 1.980e+01]
 [0.000e+00 0.000e+00 6.400e+00 6.200e+00 9.000e+00 3.120e+02 2.000e-01]
 [9.400e+00 2.800e+01 1.780e+01 1.000e+00 3.080e+01 0.000e+00 2.416e+02]]",2.5145641326904298,0.873000918605053,0.8739248921026214,0.8734122274548686,0.7592092514038086,360
9,LSTM Hybrid,0.8905352480417754,"[[5.280e+02 1.500e+01 1.400e+00 0.000e+00 1.920e+01 0.000e+00 8.800e+00]
 [6.200e+00 4.568e+02 5.000e+00 1.200e+00 2.380e+01 0.000e+00 3.120e+01]
 [2.800e+00 4.000e+00 4.274e+02 2.400e+00 1.580e+01 3.800e+00 1.640e+01]
 [2.000e-01 4.000e-01 1.800e+00 4.300e+02 5.600e+00 3.200e+00 1.000e+00]
 [5.800e+00 2.300e+01 2.260e+01 2.800e+00 3.346e+02 4.000e-01 1.560e+01]
 [0.000e+00 0.000e+00 5.800e+00 7.400e+00 7.000e+00 3.106e+02 4.000e-01]
 [9.800e+00 1.900e+01 1.880e+01 6.000e-01 2.700e+01 2.000e-01 2.412e+02]]",2.730329465866089,0.885624288508378,0.8865054921898986,0.8860552249921438,0.7404407978057861,400
