,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,LSTM Hybrid,0.2779789719626168,"[[1.986e+02 8.160e+01 5.200e+00 5.320e+01 2.380e+01 2.000e-01 2.940e+01]
 [3.320e+01 5.620e+01 2.200e+00 2.000e+00 1.180e+01 0.000e+00 2.440e+01]
 [2.602e+02 2.584e+02 4.060e+02 2.306e+02 3.146e+02 2.690e+02 1.812e+02]
 [2.000e-01 0.000e+00 8.000e-01 5.640e+01 1.600e+00 6.000e-01 4.000e-01]
 [9.400e+00 5.880e+01 9.480e+01 3.680e+01 9.920e+01 1.840e+01 4.660e+01]
 [0.000e+00 4.000e-01 2.020e+01 1.580e+01 7.600e+00 6.940e+01 3.400e+00]
 [1.158e+02 1.220e+02 8.600e+00 1.026e+02 2.480e+01 1.600e+00 6.600e+01]]",0.7167848587036133,0.18632102044772225,0.26813276595673974,0.2601087430270015,0.8904157638549804,40
1,LSTM Hybrid,0.625177304964539,"[[5.742e+02 3.566e+02 1.020e+01 1.620e+01 6.300e+01 6.000e-01 1.030e+02]
 [1.540e+01 1.086e+02 2.600e+00 3.200e+00 3.460e+01 0.000e+00 2.260e+01]
 [2.600e+00 9.200e+00 3.332e+02 9.000e+00 7.740e+01 2.260e+01 1.920e+01]
 [6.400e+00 5.400e+00 4.200e+00 4.316e+02 1.660e+01 7.400e+00 1.360e+01]
 [5.200e+00 6.300e+01 1.410e+02 9.600e+00 2.236e+02 4.800e+00 5.880e+01]
 [2.000e-01 1.000e+00 2.520e+01 1.540e+01 1.380e+01 3.178e+02 4.000e+00]
 [4.400e+00 2.740e+01 1.600e+01 6.800e+00 4.940e+01 8.000e-01 1.266e+02]]",0.6159255981445313,0.5903995206965695,0.6240056517820294,0.5962371406937776,0.8123124599456787,80
2,LSTM Hybrid,0.7811004784688995,"[[5.470e+02 4.780e+01 3.800e+00 4.200e+00 4.100e+01 6.000e-01 2.160e+01]
 [3.100e+01 4.136e+02 4.800e+00 2.400e+00 5.620e+01 2.000e-01 4.160e+01]
 [2.400e+00 3.200e+00 4.442e+02 1.040e+01 5.380e+01 1.580e+01 2.880e+01]
 [4.000e-01 8.000e-01 1.400e+00 4.398e+02 7.000e+00 7.800e+00 5.800e+00]
 [5.200e+00 4.860e+01 5.320e+01 4.000e+00 2.470e+02 1.400e+00 4.840e+01]
 [2.000e-01 2.000e-01 6.600e+00 1.560e+01 6.000e+00 3.230e+02 2.000e-01]
 [1.500e+01 4.980e+01 1.060e+01 9.400e+00 6.300e+01 1.800e+00 1.974e+02]]",0.8376535415649414,0.7718837899249286,0.7731936900441898,0.7842754421945407,0.8123061656951904,120
3,LSTM Hybrid,0.8114406779661018,"[[5.516e+02 3.360e+01 3.200e+00 1.800e+00 4.100e+01 4.000e-01 1.640e+01]
 [2.300e+01 4.446e+02 6.200e+00 6.000e-01 4.380e+01 2.000e-01 3.980e+01]
 [2.200e+00 3.400e+00 4.318e+02 1.060e+01 4.400e+01 1.120e+01 2.780e+01]
 [6.000e-01 8.000e-01 1.400e+00 4.404e+02 6.000e+00 9.400e+00 4.000e+00]
 [5.600e+00 4.880e+01 5.960e+01 6.200e+00 2.812e+02 1.400e+00 4.320e+01]
 [4.000e-01 6.000e-01 7.000e+00 1.480e+01 5.200e+00 3.236e+02 1.000e+00]
 [9.800e+00 2.700e+01 8.200e+00 5.400e+00 4.700e+01 4.000e-01 2.078e+02]]",1.0596512317657472,0.8039540984148603,0.8033680092413933,0.8090217677418817,0.799830961227417,160
4,LSTM Hybrid,0.8240196078431372,"[[5.590e+02 4.980e+01 3.600e+00 1.200e+00 3.540e+01 0.000e+00 2.020e+01]
 [1.000e+01 4.312e+02 5.400e+00 8.000e-01 3.840e+01 0.000e+00 3.720e+01]
 [2.800e+00 2.600e+00 4.264e+02 7.200e+00 2.860e+01 7.400e+00 2.280e+01]
 [4.000e-01 1.200e+00 3.400e+00 4.416e+02 8.600e+00 1.120e+01 4.200e+00]
 [6.800e+00 4.180e+01 5.700e+01 8.200e+00 3.038e+02 3.000e+00 4.180e+01]
 [0.000e+00 4.000e-01 9.800e+00 1.180e+01 5.400e+00 3.198e+02 1.800e+00]
 [7.000e+00 2.460e+01 6.000e+00 4.000e+00 4.220e+01 4.000e-01 2.078e+02]]",1.436838150024414,0.8164584245047791,0.8159203733231701,0.825157081477036,0.7841918468475342,200
5,LSTM Hybrid,0.8430521091811414,"[[5.494e+02 2.860e+01 4.600e+00 1.600e+00 3.920e+01 0.000e+00 1.940e+01]
 [9.800e+00 4.522e+02 6.400e+00 4.000e-01 3.600e+01 0.000e+00 3.920e+01]
 [2.600e+00 2.400e+00 4.230e+02 4.800e+00 2.300e+01 6.800e+00 1.920e+01]
 [1.000e+00 1.600e+00 2.800e+00 4.440e+02 8.400e+00 1.080e+01 1.000e+00]
 [1.020e+01 3.920e+01 5.060e+01 5.000e+00 3.086e+02 2.400e+00 2.820e+01]
 [0.000e+00 0.000e+00 5.800e+00 7.000e+00 5.200e+00 3.164e+02 0.000e+00]
 [8.200e+00 2.060e+01 1.140e+01 3.600e+00 3.760e+01 1.400e+00 2.244e+02]]",1.6706083297729493,0.837573150623348,0.8362834718762118,0.8418495079652004,0.7748307228088379,240
6,LSTM Hybrid,0.8569095477386934,"[[5.420e+02 2.820e+01 5.400e+00 1.800e+00 3.020e+01 0.000e+00 1.620e+01]
 [6.600e+00 4.450e+02 5.600e+00 0.000e+00 3.000e+01 0.000e+00 3.120e+01]
 [8.000e-01 2.400e+00 4.336e+02 6.200e+00 2.100e+01 5.600e+00 1.780e+01]
 [0.000e+00 0.000e+00 2.200e+00 4.350e+02 5.000e+00 7.800e+00 6.000e-01]
 [1.000e+01 4.400e+01 3.900e+01 5.200e+00 3.246e+02 2.800e+00 2.840e+01]
 [0.000e+00 0.000e+00 3.600e+00 7.200e+00 5.000e+00 3.160e+02 2.000e-01]
 [1.500e+01 1.920e+01 9.800e+00 4.800e+00 3.500e+01 1.800e+00 2.322e+02]]",1.8925782680511474,0.8525052849251413,0.8514731572602303,0.8570260988938901,0.7748169422149658,280
7,LSTM Hybrid,0.8688931297709924,"[[5.320e+02 2.180e+01 5.000e+00 6.000e-01 2.600e+01 0.000e+00 1.140e+01]
 [1.100e+01 4.530e+02 5.600e+00 4.000e-01 3.180e+01 0.000e+00 2.980e+01]
 [2.000e-01 2.400e+00 4.262e+02 4.600e+00 1.780e+01 5.000e+00 1.480e+01]
 [2.000e-01 2.000e-01 2.400e+00 4.342e+02 4.000e+00 2.400e+00 1.400e+00]
 [7.200e+00 3.560e+01 3.600e+01 4.200e+00 3.244e+02 3.200e+00 2.000e+01]
 [0.000e+00 0.000e+00 2.200e+00 5.000e+00 3.600e+00 3.172e+02 2.000e-01]
 [1.640e+01 2.040e+01 1.580e+01 5.000e+00 3.800e+01 6.000e-01 2.448e+02]]",2.1017440795898437,0.8655883862220277,0.8659620077094117,0.8675011704142932,0.7611183166503906,320
8,LSTM Hybrid,0.8802835051546392,"[[5.324e+02 2.020e+01 4.400e+00 8.000e-01 2.340e+01 0.000e+00 1.260e+01]
 [8.400e+00 4.498e+02 4.600e+00 8.000e-01 2.500e+01 2.000e-01 3.300e+01]
 [1.200e+00 2.400e+00 4.358e+02 3.800e+00 2.040e+01 7.000e+00 1.700e+01]
 [2.000e-01 0.000e+00 2.000e+00 4.340e+02 4.200e+00 1.000e+00 1.000e+00]
 [5.400e+00 3.960e+01 2.560e+01 3.000e+00 3.370e+02 6.000e-01 2.680e+01]
 [0.000e+00 0.000e+00 2.200e+00 3.400e+00 2.000e+00 3.150e+02 0.000e+00]
 [1.340e+01 1.300e+01 1.340e+01 3.400e+00 2.620e+01 0.000e+00 2.284e+02]]",2.510351371765137,0.876065745026483,0.87480261459514,0.8804012757988119,0.749814796447754,360
9,LSTM Hybrid,0.8958877284595299,"[[5.342e+02 1.340e+01 1.800e+00 2.000e-01 2.180e+01 0.000e+00 1.300e+01]
 [5.800e+00 4.578e+02 3.600e+00 2.000e-01 2.420e+01 2.000e-01 2.920e+01]
 [2.200e+00 3.200e+00 4.358e+02 3.400e+00 1.920e+01 5.000e+00 1.400e+01]
 [4.000e-01 0.000e+00 1.400e+00 4.296e+02 4.200e+00 1.400e+00 2.000e+00]
 [4.200e+00 3.200e+01 2.300e+01 5.000e+00 3.366e+02 8.000e-01 1.620e+01]
 [2.000e-01 0.000e+00 4.000e+00 2.400e+00 4.200e+00 3.108e+02 0.000e+00]
 [5.800e+00 1.180e+01 1.320e+01 3.600e+00 2.280e+01 0.000e+00 2.402e+02]]",2.741986894607544,0.8919022602954287,0.8910175091804394,0.8941783007089269,0.7498191833496094,400
