,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,LSTM W2V,0.3384929906542056,"[[3.168e+02 1.488e+02 4.960e+01 4.580e+01 9.340e+01 4.100e+01 7.700e+01]
 [7.800e+00 4.540e+01 6.000e-01 6.000e-01 5.400e+00 4.000e-01 7.600e+00]
 [2.322e+02 2.020e+02 4.234e+02 2.384e+02 2.176e+02 1.618e+02 1.498e+02]
 [1.800e+00 2.180e+01 2.020e+01 1.396e+02 2.760e+01 1.480e+01 2.520e+01]
 [4.400e+01 7.700e+01 2.280e+01 5.120e+01 1.180e+02 2.680e+01 6.800e+01]
 [1.480e+01 7.980e+01 2.060e+01 2.140e+01 2.040e+01 1.142e+02 2.220e+01]
 [0.000e+00 2.600e+00 6.000e-01 4.000e-01 1.000e+00 2.000e-01 1.600e+00]]",0.6829497337341308,0.2457652135342779,0.31842398055035365,0.3071428710778136,0.4780130386352539,40
1,LSTM W2V,0.7048463356973995,"[[5.210e+02 5.960e+01 7.400e+00 2.000e-01 4.780e+01 8.000e-01 3.180e+01]
 [6.160e+01 3.826e+02 4.200e+00 1.600e+00 2.680e+01 1.080e+01 4.640e+01]
 [4.800e+00 1.960e+01 4.304e+02 1.900e+01 7.260e+01 4.040e+01 3.340e+01]
 [1.600e+00 5.800e+00 2.200e+01 4.116e+02 3.500e+01 5.800e+00 1.200e+01]
 [9.000e+00 4.060e+01 4.840e+01 4.160e+01 2.246e+02 6.800e+00 9.160e+01]
 [2.800e+00 2.160e+01 1.560e+01 9.800e+00 2.520e+01 2.888e+02 6.400e+00]
 [7.600e+00 4.140e+01 4.400e+00 8.000e+00 4.640e+01 6.000e-01 1.262e+02]]",0.5273823738098145,0.6827442741440445,0.6886987867003942,0.7016788892568709,0.4249077796936035,80
2,LSTM W2V,0.7853468899521532,"[[5.356e+02 3.760e+01 1.460e+01 0.000e+00 4.700e+01 4.000e-01 2.380e+01]
 [3.660e+01 4.242e+02 4.600e+00 6.000e-01 2.700e+01 1.000e+01 4.320e+01]
 [1.800e+00 7.200e+00 4.348e+02 6.200e+00 3.160e+01 6.000e+00 2.400e+01]
 [0.000e+00 2.400e+00 5.600e+00 4.394e+02 1.700e+01 7.000e+00 4.800e+00]
 [9.000e+00 3.760e+01 4.660e+01 2.700e+01 2.860e+02 5.000e+00 6.060e+01]
 [1.200e+00 1.300e+01 1.140e+01 9.200e+00 1.260e+01 3.220e+02 3.200e+00]
 [1.700e+01 4.200e+01 7.000e+00 3.400e+00 5.280e+01 2.000e-01 1.842e+02]]",0.6936398029327393,0.7757488631794291,0.7763212604266501,0.7796138984629728,0.418653678894043,120
3,LSTM W2V,0.8095036319612591,"[[529.6  26.2   8.2   0.   34.8   0.   17.4]
 [ 38.4 424.8   3.8   0.8  20.2   4.8  31. ]
 [  2.    6.2 436.4   6.6  36.8   2.6  25.8]
 [  0.    4.2   3.  435.2  10.2   3.6   2.8]
 [ 10.6  43.6  41.   18.2 301.2   3.2  45. ]
 [  1.6  13.6  13.   16.   12.4 332.4   3. ]
 [ 11.   40.2  12.    3.   52.6   0.  215. ]]",0.8759273529052735,0.8025245737081989,0.8054187119075245,0.8033918217480691,0.41865811347961424,160
4,LSTM W2V,0.8194240196078433,"[[5.304e+02 2.240e+01 9.400e+00 0.000e+00 3.320e+01 2.000e-01 1.800e+01]
 [3.500e+01 4.404e+02 4.400e+00 8.000e-01 2.800e+01 7.000e+00 3.620e+01]
 [1.800e+00 4.000e+00 4.338e+02 3.400e+00 3.000e+01 1.600e+00 2.160e+01]
 [0.000e+00 2.000e+00 3.600e+00 4.312e+02 8.400e+00 4.200e+00 2.000e+00]
 [9.000e+00 4.260e+01 3.540e+01 2.760e+01 3.034e+02 8.600e+00 4.060e+01]
 [1.200e+00 4.000e+00 1.120e+01 6.600e+00 7.000e+00 3.192e+02 1.200e+00]
 [8.600e+00 3.620e+01 1.380e+01 5.200e+00 5.240e+01 1.000e+00 2.162e+02]]",1.2084364891052246,0.8133561274959892,0.8133467038661136,0.8166286959641914,0.40928378105163576,200
5,LSTM W2V,0.8404466501240695,"[[5.326e+02 1.920e+01 8.800e+00 0.000e+00 3.220e+01 0.000e+00 2.000e+01]
 [2.820e+01 4.486e+02 7.200e+00 1.800e+00 2.420e+01 2.800e+00 3.980e+01]
 [1.400e+00 2.400e+00 4.294e+02 4.400e+00 1.840e+01 4.200e+00 2.060e+01]
 [0.000e+00 2.000e+00 4.200e+00 4.346e+02 8.000e+00 3.600e+00 2.400e+00]
 [1.020e+01 3.020e+01 2.640e+01 1.240e+01 3.152e+02 2.200e+00 2.420e+01]
 [1.000e+00 1.200e+00 1.000e+01 8.400e+00 1.000e+01 3.250e+02 2.000e-01]
 [7.800e+00 4.100e+01 1.860e+01 4.800e+00 5.000e+01 0.000e+00 2.242e+02]]",1.3855494022369386,0.8344601428907714,0.8357189238649749,0.8364494412524077,0.40927801132202146,240
6,LSTM W2V,0.8559673366834172,"[[5.426e+02 2.200e+01 6.200e+00 0.000e+00 3.040e+01 0.000e+00 1.620e+01]
 [1.360e+01 4.552e+02 4.000e+00 1.800e+00 2.180e+01 0.000e+00 3.980e+01]
 [1.200e+00 4.800e+00 4.308e+02 3.400e+00 2.280e+01 6.200e+00 2.400e+01]
 [0.000e+00 1.000e+00 3.400e+00 4.408e+02 1.140e+01 4.000e+00 2.200e+00]
 [1.060e+01 3.000e+01 2.780e+01 6.000e+00 3.170e+02 1.800e+00 2.620e+01]
 [4.000e-01 6.000e-01 7.400e+00 6.000e+00 6.400e+00 3.220e+02 1.200e+00]
 [6.000e+00 2.520e+01 1.960e+01 2.200e+00 4.100e+01 0.000e+00 2.170e+02]]",1.5553179264068604,0.8487038008563579,0.8488588045688028,0.8520659201597575,0.3999075412750244,280
7,LSTM W2V,0.871564885496183,"[[5.416e+02 2.080e+01 6.800e+00 0.000e+00 2.940e+01 0.000e+00 1.660e+01]
 [1.020e+01 4.510e+02 3.400e+00 4.000e-01 1.740e+01 8.000e-01 3.280e+01]
 [6.000e-01 4.400e+00 4.332e+02 2.400e+00 2.220e+01 4.800e+00 1.900e+01]
 [0.000e+00 2.000e+00 3.200e+00 4.400e+02 1.100e+01 3.600e+00 1.800e+00]
 [8.000e+00 2.680e+01 2.200e+01 5.800e+00 3.232e+02 2.000e+00 1.780e+01]
 [0.000e+00 6.000e-01 4.800e+00 4.800e+00 5.400e+00 3.172e+02 4.000e-01]
 [6.600e+00 2.780e+01 1.980e+01 6.000e-01 3.700e+01 0.000e+00 2.340e+02]]",1.7198394298553468,0.8659066730572453,0.8664303681173646,0.867154523597183,0.39991054534912107,320
8,LSTM W2V,0.8785438144329897,"[[5.354e+02 1.920e+01 4.200e+00 0.000e+00 2.000e+01 0.000e+00 1.480e+01]
 [9.600e+00 4.454e+02 3.400e+00 1.000e+00 1.640e+01 0.000e+00 2.920e+01]
 [1.400e+00 3.800e+00 4.322e+02 3.400e+00 2.380e+01 5.200e+00 1.980e+01]
 [0.000e+00 0.000e+00 2.000e+00 4.336e+02 5.400e+00 3.200e+00 1.200e+00]
 [7.800e+00 3.200e+01 2.020e+01 6.400e+00 3.328e+02 2.800e+00 1.800e+01]
 [0.000e+00 4.000e-01 3.800e+00 2.600e+00 2.000e+00 3.126e+02 8.000e-01]
 [6.800e+00 2.420e+01 2.220e+01 2.200e+00 3.780e+01 0.000e+00 2.350e+02]]",2.0476558208465576,0.8736407575455329,0.8737217997399395,0.8752739591259427,0.38739519119262694,360
9,LSTM W2V,0.8864882506527415,"[[5.340e+02 1.600e+01 4.000e+00 0.000e+00 1.940e+01 0.000e+00 1.300e+01]
 [5.600e+00 4.490e+02 2.600e+00 1.200e+00 1.760e+01 0.000e+00 3.400e+01]
 [1.600e+00 3.800e+00 4.300e+02 2.800e+00 2.380e+01 4.400e+00 1.760e+01]
 [0.000e+00 2.000e-01 2.000e+00 4.322e+02 6.800e+00 1.800e+00 2.000e+00]
 [6.800e+00 2.600e+01 2.000e+01 4.600e+00 3.292e+02 2.000e-01 1.780e+01]
 [0.000e+00 4.000e-01 3.400e+00 2.200e+00 3.000e+00 3.118e+02 2.000e-01]
 [4.800e+00 2.280e+01 2.080e+01 1.400e+00 3.320e+01 0.000e+00 2.300e+02]]",2.2324273109436037,0.881003657046086,0.8809897869967742,0.8821636259665862,0.37803993225097654,400
