,Unnamed: 0,Model,accuracy,confusion,f1,precision,recall,train_size
0,0,MLP BoW,0.5168471199653529,"[[172.8  27.2  32.6  13.4  28. ]
 [ 20.6 243.6   7.6   5.2   2.6]
 [ 43.6  22.   54.2  18.2   8.6]
 [220.8 182.8 212.8 515.6 110.6]
 [ 81.2  17.6  43.8  16.4 207.2]]",0.4483161284411058,0.4920001022636207,0.6576414958261744,40
1,1,MLP BoW,0.6246804759806082,"[[323.6  25.2  78.8  18.4  55. ]
 [ 28.4 318.4  16.8  13.2  14. ]
 [ 10.    6.4  52.   11.6   3.2]
 [114.8 115.6 142.8 498.6  54.2]
 [ 52.4  19.4  55.   16.4 224.8]]",0.5719614344316826,0.5911979107705813,0.7058302352292284,80
2,2,MLP BoW,0.7278600269179003,"[[353.8  19.6  52.   13.4  16.6]
 [ 45.8 379.4  30.6  17.6  21.8]
 [ 38.2  12.2 117.8  21.    5.2]
 [ 56.   50.  108.  485.6  15. ]
 [ 29.2  13.6  29.2  11.6 285.8]]",0.6972104440498195,0.7084814645213551,0.7563669074342785,120
3,3,MLP BoW,0.7629968021927821,"[[388.6  33.6  56.2  24.   20. ]
 [ 31.4 375.4  25.8  13.   12.6]
 [ 38.   14.6 143.4  22.    5.4]
 [ 38.6  30.   85.6 470.4   7.8]
 [ 16.8  12.2  21.   10.2 292.4]]",0.7413407102818266,0.7472318790007497,0.7803330404314932,160
4,4,MLP BoW,0.7911586784550954,"[[409.8  33.6  50.   18.2  17.6]
 [ 16.2 369.4  18.8   9.2  10.2]
 [ 39.8  17.4 167.   30.6   8.6]
 [ 26.6  24.   80.  461.2   3.4]
 [ 12.4  12.8  10.    9.4 292.8]]",0.7764364735871608,0.7779500892148898,0.8001098076688367,200
5,5,MLP BoW,0.8053105737316264,"[[401.2  26.4  44.8  18.   13.4]
 [ 19.2 377.4  19.4   8.8   9.4]
 [ 43.4  20.2 176.4  32.8   9.6]
 [ 21.8  14.8  68.6 453.2   3.6]
 [  9.8  10.8   9.4   6.4 290.2]]",0.7935101383383774,0.7938232917524839,0.8052810898810495,240
6,6,MLP BoW,0.8189463508941518,"[[401.8  22.6  36.4  15.8   9.6]
 [ 14.6 376.2  14.8   7.2   7.6]
 [ 40.8  16.  180.4  34.    8.4]
 [ 19.6  14.8  73.  444.6   2.6]
 [ 10.2  11.8   8.4   6.4 291.4]]",0.8082442132486675,0.8086599824309264,0.8150792622036933,280
7,7,MLP BoW,0.8236569738787579,"[[393.2  23.4  34.   13.2   8.8]
 [ 10.6 370.8  13.6   7.2   6.6]
 [ 45.6  16.  183.2  36.2   9.8]
 [ 18.8  12.   67.  437.8   2.2]
 [  9.    9.8   8.4   5.6 286.2]]",0.8140868566685795,0.8143095960375065,0.8210477629915267,320
8,8,MLP BoW,0.8301659125188537,"[[391.   21.4  37.   14.6   8.6]
 [ 13.2 368.2  13.    7.2   7. ]
 [ 38.8  14.6 181.6  32.8  10.8]
 [ 15.6  11.   64.6 433.2   2.2]
 [  7.4   7.6   5.2   5.2 277.2]]",0.8208883637402291,0.8199993818595909,0.8276833522624201,360
9,9,MLP BoW,0.8378655720882504,"[[382.   15.8  31.8  10.4   8. ]
 [ 10.  369.2  11.4   7.2   6.4]
 [ 44.2  15.  187.4  39.8   9.4]
 [ 13.2   6.4  58.  422.6   1.4]
 [  7.4   9.2   5.8   5.2 271.8]]",0.829543455133366,0.8297846641663137,0.8317001366569423,400
10,10,MLP BoW,0.8384494499738082,"[[370.4  15.8  31.4  12.6   7.4]
 [  8.8 360.6  10.    6.    5.8]
 [ 45.2  15.2 185.6  31.8  10.6]
 [ 14.4   9.4  57.6 417.2   1.6]
 [  7.8   7.2   4.8   5.  266.8]]",0.8305692514003363,0.8306918938433444,0.8357796923773841,440
11,11,MLP BoW,0.8395933654360621,"[[367.6  16.8  30.4  11.    6.8]
 [  9.4 349.    8.2   6.8   5.4]
 [ 39.6  13.4 178.6  27.6  10. ]
 [ 15.   12.6  60.  412.2   1.6]
 [  7.2   7.6   5.4   5.  261.8]]",0.8313714995176176,0.8306276683634229,0.8356218341422167,480
12,12,MLP BoW,0.8441771459814106,"[[358.4  14.   27.2  10.6   5. ]
 [ 11.  346.8   9.    5.8   6. ]
 [ 41.2  12.8 180.8  33.2   8.8]
 [ 12.   10.6  53.6 401.    1.8]
 [  7.8   6.4   4.    4.2 257. ]]",0.8369530807122917,0.8370434382732188,0.8400040849671788,520
13,13,MLP BoW,0.8456120737842371,"[[351.   10.8  24.6   7.4   4. ]
 [  9.4 338.2   6.4   6.    5.6]
 [ 40.8  14.6 181.4  36.6   9.8]
 [ 12.6  12.2  52.8 390.8   2. ]
 [  7.6   5.6   3.2   4.2 251.4]]",0.8393151480064687,0.8393549955053011,0.8428367194275804,560
14,14,MLP BoW,0.8516866781017726,"[[350.8  11.6  27.2   9.2   5.6]
 [  8.4 334.6   6.8   5.8   5.2]
 [ 32.   11.2 173.4  33.2   7.4]
 [ 11.2  11.4  51.4 382.4   1.6]
 [  7.4   5.4   2.6   4.8 248.4]]",0.8443931292164392,0.844045453277596,0.8477576668672283,600
15,15,MLP BoW,0.8532475131655939,"[[340.8  11.   26.8   7.8   4.6]
 [  9.8 330.2   7.4   6.2   4.2]
 [ 31.4   9.8 163.   28.6   7. ]
 [ 11.8   9.   54.6 377.4   1.4]
 [  7.    5.    2.8   4.6 246.8]]",0.8446831421494828,0.8439968428203823,0.8478124017168964,640
16,16,MLP BoW,0.8577591372079091,"[[335.4  10.4  27.2  10.    4.8]
 [  8.6 322.4   6.2   4.6   4.2]
 [ 28.4   9.  161.4  27.4   5.8]
 [ 11.2   8.8  50.8 370.    0.8]
 [  7.4   6.    2.2   3.6 242.4]]",0.8495926593674687,0.8487578552087346,0.8520861592675614,680
17,17,MLP BoW,0.8588090853284223,"[[322.4   7.2  20.6   7.4   3.8]
 [  8.2 316.    5.    5.4   4.2]
 [ 33.4   9.6 165.6  31.6   6.6]
 [  9.4   9.4  49.6 358.6   1. ]
 [  7.2   5.    1.6   3.8 236.4]]",0.8520522734747706,0.8521797382411334,0.8534996224189797,720
18,18,MLP BoW,0.8617998741346758,"[[318.4   6.8  23.4   9.6   4.4]
 [  6.2 311.6   5.8   6.    4.8]
 [ 29.2   7.4 158.6  28.    5.2]
 [  9.2   9.4  47.4 350.4   1.2]
 [  6.8   5.4   1.    2.4 230.4]]",0.8546047431379382,0.8537695985372477,0.8569170892375955,760
19,19,MLP BoW,0.8621045836023241,"[[310.2   8.4  22.2   7.4   4.4]
 [  5.2 303.    6.2   5.2   4.4]
 [ 25.6   7.6 152.   24.8   5.6]
 [ 11.2   8.6  48.4 346.    2.4]
 [  7.4   5.    1.    2.6 224.2]]",0.8542088586236926,0.8525709963465202,0.8579879027853231,800
20,20,MLP BoW,0.8654738237243208,"[[301.2   6.8  21.4   6.2   4. ]
 [  6.2 297.6   5.6   6.    4.4]
 [ 24.4   7.6 150.6  24.8   5. ]
 [ 12.    7.6  45.4 337.2   2. ]
 [  7.    4.4   0.8   1.4 219.4]]",0.8580862927200972,0.8564583763871004,0.8612518752289349,840
21,21,MLP BoW,0.8652144315861129,"[[291.4   5.4  20.8   5.6   4.2]
 [  8.  293.4   6.2   5.2   4.4]
 [ 24.4   6.8 147.   25.    4.6]
 [ 10.2   6.4  43.  326.4   1.6]
 [  7.6   5.    0.8   2.8 212.8]]",0.857402923472278,0.8566766626476051,0.8594644981745156,880
22,22,MLP BoW,0.8660601819454165,"[[285.4   5.4  21.4   6.6   4.4]
 [  7.2 288.2   5.8   6.6   5.2]
 [ 24.8   5.4 144.6  24.4   4.2]
 [  9.2   5.6  40.  314.4   1.8]
 [  6.4   4.4   0.8   1.8 205. ]]",0.8587912490365588,0.8578164009745493,0.8618015020019104,920
23,23,MLP BoW,0.8660907127429807,"[[281.6   7.   23.2   8.    4.8]
 [  6.6 277.2   5.2   5.4   4.6]
 [ 19.4   4.6 134.8  21.6   3.8]
 [  9.8   6.2  41.8 308.8   1.4]
 [  6.    4.6   0.8   1.2 200.6]]",0.8578367916422186,0.8559128567841698,0.862319677667567,960
24,24,MLP BoW,0.8649369903632321,"[[273.6   6.2  20.    6.8   3.8]
 [  6.4 269.4   4.    4.6   4.8]
 [ 19.4   5.  134.6  23.8   4.2]
 [ 10.8   7.4  41.6 297.6   2.4]
 [  5.2   4.    1.    0.8 191.6]]",0.8579654736819867,0.8560899901517983,0.8623714197220798,1000
