,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,LSTM TFIDF,0.20105140186915887,"[[ 54.4  97.8  10.   69.4  31.    4.8  29. ]
 [  2.2   3.2   1.6   0.6   6.8   4.4   9. ]
 [401.2 277.6 420.  262.4 352.6 283.6 239.8]
 [ 96.8 180.4   4.  138.   20.2   6.   41.4]
 [ 62.8  18.4 102.2  27.   72.8  60.4  32.2]
 [  0.    0.    0.    0.    0.    0.    0. ]
 [  0.    0.    0.    0.    0.    0.    0. ]]",0.7279453277587891,0.08142633226020322,0.18652700561899263,0.0998509884046974,0.7966826438903809,40
1,LSTM TFIDF,0.3623522458628841,"[[5.784e+02 5.084e+02 4.200e+01 4.334e+02 1.816e+02 1.820e+01 2.148e+02]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [8.000e-01 3.800e+00 2.908e+02 2.800e+00 3.540e+01 1.040e+01 1.380e+01]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [1.060e+01 3.480e+01 1.756e+02 3.680e+01 1.840e+02 1.530e+02 7.520e+01]
 [1.760e+01 2.420e+01 2.380e+01 1.840e+01 7.640e+01 1.718e+02 4.280e+01]
 [1.000e+00 0.000e+00 2.000e-01 4.000e-01 1.000e+00 6.000e-01 1.200e+00]]",0.6029767036437989,0.2515600944020707,0.3386005999696624,0.2523140159040551,0.7498268127441406,80
2,LSTM TFIDF,0.47822966507177034,"[[539.2 438.6  22.6 312.8 135.4   6.  146.6]
 [  4.6  61.6   1.6 118.4   6.    1.4   4.6]
 [  1.2   5.8 406.2   5.6  33.2   1.   23. ]
 [  0.    0.    0.    0.    0.    0.    0. ]
 [ 15.4  28.   71.4  29.  200.4  16.4  66.8]
 [  2.4  11.4   9.8   7.2  40.6 320.8  31.8]
 [ 38.4  18.6  13.   12.8  58.4   5.   71. ]]",0.8029261112213135,0.4171803609758151,0.4752131510934759,0.41124840847216343,0.7154624938964844,120
3,LSTM TFIDF,0.5809322033898305,"[[5.084e+02 1.872e+02 1.060e+01 1.100e+01 8.900e+01 3.000e+00 9.180e+01]
 [4.800e+01 3.136e+02 1.540e+01 4.164e+02 4.480e+01 4.600e+00 2.400e+01]
 [1.000e+00 6.400e+00 4.200e+02 1.120e+01 3.000e+01 1.600e+00 2.400e+01]
 [0.000e+00 4.000e-01 2.000e-01 8.000e-01 2.000e-01 0.000e+00 0.000e+00]
 [2.520e+01 3.400e+01 5.620e+01 3.520e+01 2.476e+02 1.580e+01 6.980e+01]
 [6.000e-01 2.400e+00 7.200e+00 1.800e+00 1.020e+01 3.102e+02 1.160e+01]
 [1.000e+01 1.480e+01 7.800e+00 3.400e+00 4.640e+01 1.140e+01 1.188e+02]]",1.0185033321380614,0.5416329959250443,0.5722977877559619,0.5563784228527133,0.7185866832733154,160
4,LSTM TFIDF,0.6746323529411764,"[[5.458e+02 1.456e+02 1.220e+01 5.400e+00 7.580e+01 2.400e+00 7.440e+01]
 [1.300e+01 3.484e+02 9.200e+00 2.636e+02 3.880e+01 3.600e+00 1.920e+01]
 [4.000e-01 2.800e+00 4.158e+02 1.000e+01 2.080e+01 3.800e+00 2.180e+01]
 [4.000e-01 4.000e+00 6.600e+00 1.608e+02 6.000e+00 1.000e+00 2.000e+00]
 [1.780e+01 3.300e+01 5.100e+01 3.080e+01 2.776e+02 1.440e+01 6.160e+01]
 [6.000e-01 1.400e+00 9.000e+00 1.800e+00 9.600e+00 3.122e+02 1.540e+01]
 [8.000e+00 1.640e+01 7.800e+00 2.400e+00 3.380e+01 4.400e+00 1.414e+02]]",1.3902833461761475,0.6473040376705477,0.6645174139984167,0.6679258317103852,0.7029654502868652,200
5,LSTM TFIDF,0.7737593052109182,"[[5.346e+02 1.044e+02 6.000e+00 1.800e+00 5.520e+01 8.000e-01 5.380e+01]
 [1.240e+01 3.628e+02 9.000e+00 1.040e+01 3.380e+01 2.400e+00 2.140e+01]
 [4.000e-01 2.200e+00 4.190e+02 6.800e+00 2.120e+01 7.000e+00 2.040e+01]
 [1.600e+00 1.180e+01 1.300e+01 4.210e+02 1.700e+01 5.200e+00 8.400e+00]
 [1.720e+01 3.580e+01 4.140e+01 2.200e+01 2.770e+02 9.400e+00 4.320e+01]
 [0.000e+00 8.000e-01 5.400e+00 1.600e+00 9.600e+00 3.104e+02 1.440e+01]
 [1.500e+01 2.680e+01 1.080e+01 2.800e+00 4.420e+01 2.600e+00 1.698e+02]]",1.608996820449829,0.7656282156876799,0.7650526105539089,0.7770463597590848,0.6935847282409668,240
6,LSTM TFIDF,0.7948492462311558,"[[539.6  89.2   7.    2.6  59.4   0.   41.8]
 [ 11.4 381.4   9.2   9.4  42.2   1.   24.6]
 [  0.    1.6 411.4   5.6  17.2   9.6  21. ]
 [  1.8   5.2   8.  421.4  19.2   2.8   5.8]
 [  9.6  32.8  42.4  15.2 276.8   4.2  38. ]
 [  0.    1.4   6.4   2.8   6.4 315.   10.2]
 [ 12.   27.2  14.8   3.2  29.6   1.4 185.2]]",1.8308210849761963,0.7883004329781859,0.7874589735107834,0.7978536259113653,0.6904559135437012,280
7,LSTM TFIDF,0.8069338422391859,"[[533.   74.6   5.8   1.8  51.2   0.   32. ]
 [  9.8 383.6   9.2   9.8  42.4   1.8  24.2]
 [  0.    1.8 411.8   5.6  15.4   8.4  21.4]
 [  1.2   7.    6.6 416.2  22.    1.6   4.8]
 [  9.   30.4  42.2  13.2 282.2   7.   32.4]
 [  0.    1.8   6.6   4.8   5.4 308.8   6.2]
 [ 14.   34.2  11.    2.6  27.    0.8 201.4]]",2.021372938156128,0.8019458878029451,0.8014144540544439,0.808249547324075,0.6779800415039062,320
8,LSTM TFIDF,0.823840206185567,"[[5.216e+02 5.720e+01 3.600e+00 1.200e+00 4.040e+01 2.000e-01 2.640e+01]
 [1.240e+01 4.030e+02 6.600e+00 8.400e+00 3.860e+01 1.200e+00 2.280e+01]
 [4.000e-01 2.800e+00 4.130e+02 5.600e+00 1.620e+01 8.400e+00 2.300e+01]
 [1.000e+00 4.200e+00 6.400e+00 4.148e+02 2.000e+01 2.600e+00 6.400e+00]
 [1.140e+01 3.220e+01 3.820e+01 1.480e+01 2.964e+02 4.800e+00 3.200e+01]
 [0.000e+00 1.000e+00 7.400e+00 2.200e+00 3.400e+00 3.054e+02 5.200e+00]
 [1.420e+01 2.460e+01 1.280e+01 2.200e+00 2.320e+01 1.200e+00 2.030e+02]]",2.4150561332702636,0.8191711650468407,0.8176987580274735,0.8241673808229297,0.6654738903045654,360
9,LSTM TFIDF,0.8259138381201044,"[[5.226e+02 7.200e+01 2.400e+00 6.000e-01 3.760e+01 4.000e-01 2.500e+01]
 [6.400e+00 3.800e+02 8.200e+00 5.800e+00 3.260e+01 1.600e+00 2.180e+01]
 [1.600e+00 3.800e+00 4.084e+02 7.200e+00 1.760e+01 6.000e+00 2.400e+01]
 [1.000e+00 4.200e+00 4.400e+00 4.046e+02 1.380e+01 2.400e+00 4.800e+00]
 [1.100e+01 3.420e+01 3.900e+01 2.220e+01 3.104e+02 6.600e+00 3.020e+01]
 [0.000e+00 1.000e+00 7.000e+00 3.800e+00 3.400e+00 3.008e+02 5.000e+00]
 [1.020e+01 2.300e+01 1.340e+01 2.000e-01 1.760e+01 4.000e-01 2.038e+02]]",2.6149942874908447,0.8227813431289892,0.8208969441515409,0.8303833739995108,0.6560997486114502,400
