,Model,accuracy,confusion,f1,precision,recall,train_size
0,SVM BoW,0.6177566045907319,"[[236.8  33.   62.4  21.4  30.8]
 [ 66.2 340.4  18.   13.2  18.6]
 [ 33.6  18.2  80.   18.    7.2]
 [108.8  73.4 134.  491.   22.2]
 [ 93.6  28.2  56.6  25.2 278.2]]",0.5698780539436121,0.600585612984901,0.6416408958311959,40
1,SVM TFIDF,0.6215677782589866,"[[240.4  34.2  47.2  20.   26. ]
 [ 32.4 329.8  17.   10.6   9.2]
 [ 32.2  18.2  80.2  19.    6. ]
 [126.2  83.2 131.  491.6  22.6]
 [107.8  27.8  75.6  27.6 293.2]]",0.5707779487790757,0.6063597135638934,0.6567993802754885,40
2,SVM W2V,0.3528800346470333,"[[105.2  41.4  42.6  47.8  29.4]
 [113.2 216.2  59.6  72.6  65.6]
 [ 31.6  21.4  30.4  36.2  17.2]
 [208.2 169.8 187.2 370.  151.8]
 [ 80.8  44.4  31.2  42.2  93. ]]",0.2822175487164857,0.3268377036421969,0.33710313249040397,40
3,SVM Hybrid,0.565266349068861,"[[202.8  31.6  37.4  15.2  24.4]
 [ 63.2 318.2  29.8  14.4  21.6]
 [ 35.   13.4  65.   24.2  11.2]
 [163.  112.2 187.  500.8  81.4]
 [ 75.   17.8  31.8  14.2 218.4]]",0.5062458894093275,0.5405166462858834,0.6360396043761509,40
4,SVM Hybrid B,0.6349068860978779,"[[258.6  48.   59.8  24.8  24.2]
 [ 67.4 340.8  19.6  13.   19.4]
 [ 39.6  15.4  98.2  21.4   9. ]
 [ 98.2  66.2 131.  485.   21. ]
 [ 75.2  22.8  42.4  24.6 283.4]]",0.5960771047919924,0.6199943237194698,0.6519282433595466,40
5,SVM BoW,0.7371529308065227,"[[379.8  23.   51.6  14.6  27.4]
 [ 32.2 364.   24.4  12.4   8.8]
 [ 50.8  27.4 155.   39.4   9.6]
 [ 40.8  53.4  90.  475.6   7.2]
 [ 25.6  17.2  24.4  16.2 298.2]]",0.7182438802776815,0.7241237187419453,0.7473349311732452,80
6,SVM TFIDF,0.7261348611723225,"[[387.8  30.6  64.6  18.4  20.6]
 [ 25.8 345.   17.2  11.    7.6]
 [ 33.8  15.  125.2  29.    5.6]
 [ 52.4  73.8  97.2 481.8   9.6]
 [ 29.4  20.6  41.2  18.  307.8]]",0.7025982509982834,0.7096309648938774,0.7367928273155488,80
7,SVM W2V,0.4247686205376818,"[[191.   58.8  70.6  53.2  57.6]
 [101.2 269.8  47.6  74.8  64.6]
 [ 22.4  13.6  31.   20.4  14.2]
 [156.  112.8 160.6 376.  118.8]
 [ 58.6  30.   35.6  33.8  96. ]]",0.36928247145018533,0.3912442045190514,0.4183486998957699,80
8,SVM Hybrid,0.6847069193477303,"[[334.6  30.4  59.4  17.4  21.8]
 [ 47.6 351.6  23.6  16.2  23. ]
 [ 45.   14.4 115.2  32.4   9.8]
 [ 72.   72.4 122.4 482.8  27.2]
 [ 30.   16.2  24.8   9.4 269.4]]",0.6598250533310749,0.6650728109213367,0.7021770954544206,80
9,SVM Hybrid B,0.7337152930806522,"[[382.8  35.   55.6  19.4  27. ]
 [ 31.8 355.4  16.   10.4   8.4]
 [ 55.6  26.6 161.2  47.8  10.4]
 [ 38.8  51.8  94.  468.    8. ]
 [ 20.2  16.2  18.6  12.6 297.4]]",0.7198348289754798,0.7220564440694375,0.7399181253744708,80
10,SVM BoW,0.7843876177658143,"[[383.6  18.4  34.   14.2   9.4]
 [ 43.  405.2  28.   18.   11. ]
 [ 56.2  22.  183.   42.    9.4]
 [ 24.4  19.8  80.6 465.    3. ]
 [ 15.8   9.4  12.   10.  311.6]]",0.7715240222983419,0.7765606378421956,0.784245653748916,120
11,SVM TFIDF,0.7766711529834007,"[[391.6  24.8  41.8  18.6  10.6]
 [ 35.2 391.2  23.   11.8  10.4]
 [ 44.   14.6 158.8  28.8   5.8]
 [ 29.4  29.4  85.2 474.8   2.8]
 [ 22.8  14.8  28.8  15.2 314.8]]",0.7574867547665984,0.7648065595227552,0.7738064022637038,120
12,SVM W2V,0.45257963212202784,"[[182.8  49.8  61.   43.   45.4]
 [111.8 292.4  53.8  83.2  72.2]
 [ 45.2  20.4  56.2  29.   21.4]
 [122.   84.8 130.2 355.8  83.8]
 [ 61.2  27.4  36.4  38.2 121.6]]",0.4137996642461658,0.4269607287266875,0.45289157538583485,120
13,SVM Hybrid,0.741049798115747,"[[348.   20.8  43.4  15.4  11.2]
 [ 48.4 384.   27.4  17.6  19.8]
 [ 54.8  15.  151.4  34.2  11.2]
 [ 49.8  46.  100.2 474.4   8.2]
 [ 22.    9.   15.2   7.6 294. ]]",0.7243960405145623,0.7286154169258119,0.7466949705981513,120
14,SVM Hybrid B,0.7816061013907583,"[[385.6  20.8  37.   16.6  11.2]
 [ 32.2 394.2  19.    9.8   9.8]
 [ 60.8  22.8 185.8  48.    8.6]
 [ 28.6  28.6  84.2 464.6   2.8]
 [ 15.8   8.4  11.6  10.2 312. ]]",0.7722959033971863,0.7743478530992436,0.779484410791602,120
15,SVM BoW,0.807309273640932,"[[402.4  20.4  37.2  15.   11.2]
 [ 26.4 401.8  18.8  14.2   9.4]
 [ 53.   19.6 194.8  40.8   9.8]
 [ 20.   14.6  71.4 461.4   1. ]
 [ 11.6   9.4   9.8   8.2 306.8]]",0.7973909313833905,0.7995928664357865,0.8050642110517001,160
16,SVM TFIDF,0.7979899497487437,"[[409.6  30.2  49.2  23.6  12.8]
 [ 23.6 392.6  19.2  11.    8.8]
 [ 39.2  10.8 164.8  23.8   4.6]
 [ 25.4  20.   75.4 469.8   2. ]
 [ 15.6  12.2  23.4  11.4 310. ]]",0.7813281320608148,0.7855584621393279,0.8004283649408309,160
17,SVM W2V,0.4660575605299223,"[[204.8  53.6  68.   54.2  48.8]
 [102.8 295.   58.4  80.6  71.2]
 [ 44.2  16.8  54.6  28.4  18. ]
 [108.2  70.  114.2 334.8  69.2]
 [ 53.4  30.4  36.8  41.6 131. ]]",0.4278956276907732,0.44160535215624064,0.45441371090797206,160
