,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,SVM BoW,0.4637266355140186,"[[4.004e+02 4.880e+01 9.620e+01 9.800e+01 1.008e+02 2.100e+02 4.220e+01]
 [8.800e+00 3.264e+02 4.420e+01 3.540e+01 7.500e+01 3.040e+01 4.680e+01]
 [4.000e-01 1.180e+01 1.988e+02 9.200e+00 3.080e+01 9.000e+00 4.400e+00]
 [7.380e+01 9.400e+00 1.360e+01 5.540e+01 3.200e+01 1.440e+01 5.200e+00]
 [8.440e+01 1.046e+02 1.070e+02 1.098e+02 1.844e+02 7.740e+01 5.700e+01]
 [4.600e+01 1.620e+01 2.180e+01 3.120e+01 3.520e+01 2.296e+02 1.080e+01]
 [3.600e+00 2.060e+01 1.580e+01 1.240e+01 2.520e+01 6.600e+00 1.928e+02]]",0.04777088165283203,0.43586669432310676,0.4476013094477084,0.5429986964220939,0.040895509719848636,40
1,SVM TFIDF,0.4508177570093458,"[[265.6  20.4  22.6  52.6  47.  127.6   6.8]
 [ 19.  338.2  58.6  47.   86.4  41.   52. ]
 [  2.4  13.6 213.    7.4  25.2   4.8   5. ]
 [ 16.6  13.2  16.8  54.2  34.2  24.4   4.6]
 [ 89.6  96.4 126.6 112.6 184.4  99.2  58.6]
 [102.8  19.8  31.4  45.   49.4 266.   10. ]
 [121.4  36.2  28.4  32.6  56.8  14.4 222.2]]",0.0059849262237548825,0.43317536657239974,0.443732071424057,0.5210001292810327,0.02790679931640625,40
2,SVM W2V,0.27015186915887857,"[[306.   31.6  22.8  22.4  40.   61.   29.4]
 [ 49.4 179.2 126.4  86.2 106.8 117.  101.6]
 [ 37.2  62.2 119.4  47.2  58.2  74.4  29.6]
 [ 12.   20.6  24.4  27.8  29.   39.4   7.6]
 [ 89.6 163.4 115.  109.  171.4 177.6 111.4]
 [ 45.6  58.6  67.2  39.6  50.4  76.4  34.8]
 [ 77.6  22.2  22.2  19.2  27.6  31.6  44.8]]",0.012578344345092774,0.22479185050676992,0.25195751910752656,0.3025650758201168,0.1470926284790039,40
3,SVM Hybrid,0.47733644859813085,"[[453.4  30.8  65.4  73.6  70.6 237.8  41.8]
 [  7.2 320.4  47.   47.8  79.8  40.   47.8]
 [  0.6  13.4 218.2   7.6  24.    9.4   3.8]
 [ 35.6  26.   22.4  80.4  56.4  24.8  12.8]
 [ 39.6 118.   98.6 101.8 188.4  76.   53. ]
 [ 45.8  17.8  27.8  32.8  42.6 183.    9.4]
 [ 35.2  11.4  18.    7.4  21.6   6.4 190.6]]",0.01217198371887207,0.4552462093125261,0.4626328773240007,0.5290578814275715,0.4962800979614258,40
4,SVM BoW,0.571808510638298,"[[539.4  68.6  73.4 138.4 158.2 152.   27.4]
 [  1.6 339.6  25.   25.8  49.   16.8  42. ]
 [  0.6  20.  291.   11.8  48.2   7.4   6.8]
 [  3.4   6.    4.8  47.6  13.   11.    2.4]
 [  6.6  65.2  58.8  71.6 142.   48.4  18.4]
 [ 55.8  17.2  22.8  44.6  49.2 327.    8.6]
 [  1.   15.8  16.    8.   18.8   8.6 248.4]]",0.0031917572021484377,0.5374733380361025,0.5469315345829318,0.6208424143739215,0.02692756652832031,80
5,SVM TFIDF,0.5630614657210401,"[[370.6  24.8  21.8  66.8  83.   72.8   6. ]
 [  7.  362.   25.2  41.   65.6  25.8  35.8]
 [  1.2  20.8 299.8  12.4  46.8   7.2   8.6]
 [ 11.4   9.2   9.8  64.2  19.6  15.6   3. ]
 [ 28.6  72.8  71.6  84.4 159.   57.8  18.6]
 [183.4  20.8  38.6  61.8  68.8 379.6  11.8]
 [  6.2  22.   25.   17.2  35.6  12.4 270.2]]",0.003391408920288086,0.5390879282588135,0.5497712868584509,0.5845869102985815,0.02812986373901367,80
6,SVM W2V,0.33936170212765965,"[[408.8  46.8  39.2  30.6  58.6  68.2  41.4]
 [ 25.2 178.2  76.4  75.6  89.2  88.8  82.6]
 [ 36.8  64.6 188.4  49.6  68.6  85.4  41.6]
 [ 10.8  26.2  10.6  34.   26.2  32.4  13. ]
 [ 51.6 121.4  90.4  72.8 129.8 102.   78.6]
 [ 42.   56.4  61.   52.8  69.  148.2  35.8]
 [ 33.2  38.8  25.8  32.4  37.   46.2  61. ]]",0.024334287643432616,0.28487370116766153,0.3138370690468484,0.3267536191832623,0.1278585433959961,80
7,SVM Hybrid,0.5867021276595745,"[[564.8  34.4  43.6  95.4 105.2 202.6  17.4]
 [  2.4 348.8  25.   32.4  59.6  18.2  28.4]
 [  1.2  22.6 304.6  11.8  42.4   7.6   9. ]
 [  8.4  13.6  10.6  76.4  32.4  19.2   5.4]
 [ 20.8  83.8  69.   90.  175.2  60.4  21.2]
 [ 10.   15.4  23.4  32.4  45.6 253.2  10.2]
 [  0.8  13.8  15.6   9.4  18.   10.  262.4]]",0.026546525955200195,0.5637038898199677,0.568101155268479,0.6168305089809172,0.4944605827331543,80
8,SVM BoW,0.6175239234449761,"[[5.274e+02 4.760e+01 4.220e+01 1.324e+02 1.518e+02 1.398e+02 1.300e+01]
 [2.400e+00 3.782e+02 2.380e+01 3.240e+01 5.800e+01 1.520e+01 2.020e+01]
 [8.000e-01 2.640e+01 3.474e+02 1.460e+01 5.460e+01 1.160e+01 4.200e+00]
 [3.200e+00 1.020e+01 6.400e+00 5.500e+01 1.900e+01 8.400e+00 2.200e+00]
 [4.800e+00 3.860e+01 3.440e+01 5.500e+01 1.180e+02 3.620e+01 1.400e+01]
 [6.220e+01 1.500e+01 1.800e+01 4.960e+01 6.000e+01 3.480e+02 6.000e+00]
 [4.000e-01 8.600e+00 1.360e+01 4.800e+00 1.260e+01 4.800e+00 2.910e+02]]",0.0037952423095703124,0.5851697931795513,0.595953466184818,0.6366318870223922,0.02732386589050293,120
9,SVM TFIDF,0.6270933014354066,"[[446.   16.6  12.6  67.   84.2  82.2   6.4]
 [  6.8 400.6  25.8  44.4  69.8  19.   23. ]
 [  3.   21.2 349.2  12.4  42.   10.2   6.2]
 [ 11.6  11.4  10.   72.4  27.2  11.2   2. ]
 [ 22.2  46.6  46.4  69.  144.8  44.6  11.2]
 [110.   16.8  25.4  67.6  80.2 390.    7.8]
 [  1.6  11.4  16.4  11.   25.8   6.8 294. ]]",0.004390335083007813,0.6007205037130341,0.6104406232681839,0.6295144721571619,0.0279233455657959,120
10,SVM W2V,0.3927033492822966,"[[437.   48.8  28.4  32.8  65.   70.6  44.6]
 [ 26.  242.4  80.4  96.8 116.2 101.   82.2]
 [ 28.2  74.4 254.8  49.6  74.6  79.4  57.2]
 [  8.   20.   13.   29.2  26.6  19.4  11.8]
 [ 21.2  54.2  40.8  41.4  69.4  49.6  43.2]
 [ 59.6  60.   47.6  69.   88.6 208.4  39.6]
 [ 21.2  24.8  20.8  25.   33.6  35.6  72. ]]",0.037511014938354494,0.33809407500345534,0.36047100741308435,0.3704948529574068,0.12385778427124024,120
