,Model,accuracy,confusion,f1,precision,recall,train_size
0,LSTM BoW,0.37618016457340836,"[[5.060e+02 2.304e+02 2.852e+02 1.436e+02 1.750e+02]
 [4.000e-01 4.200e+00 8.000e-01 8.000e-01 1.800e+00]
 [2.500e+01 4.000e+01 1.522e+02 6.400e+00 3.560e+01]
 [3.740e+01 2.644e+02 5.500e+01 2.062e+02 1.386e+02]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]]",0.2322315297883267,0.3568805711187325,0.2129494080405566,40
1,LSTM TFIDF,0.3300996102208748,"[[5.234e+02 2.580e+02 2.886e+02 1.456e+02 2.120e+02]
 [4.000e-01 4.980e+01 4.000e+00 2.860e+01 1.160e+01]
 [4.000e+00 1.280e+01 9.400e+00 3.200e+00 1.020e+01]
 [4.100e+01 2.184e+02 1.912e+02 1.796e+02 1.172e+02]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]]",0.19797734620134788,0.30731865543248926,0.18919740194092521,40
2,LSTM W2V,0.4584668687743612,"[[543.  240.  191.6 140.2 209.4]
 [  0.   31.2   4.2   0.6   2.2]
 [  3.8  84.8 274.8   7.2  15.4]
 [ 22.  183.   22.6 209.  123.4]
 [  0.    0.    0.    0.    0.6]]",0.32540283807321224,0.4315974502845261,0.47739467447861117,40
3,LSTM Hybrid,0.4769164140320485,"[[5.384e+02 2.330e+02 1.962e+02 1.114e+02 2.172e+02]
 [4.000e-01 1.520e+01 3.400e+00 4.000e-01 8.000e-01]
 [8.200e+00 6.840e+01 2.756e+02 7.200e+00 1.800e+01]
 [1.180e+01 2.088e+02 1.760e+01 2.266e+02 6.960e+01]
 [1.000e+01 1.360e+01 4.000e-01 1.140e+01 4.540e+01]]",0.367401062185161,0.4598735163388333,0.450136620389337,40
4,LSTM BoW,0.6290877038342882,"[[513.2  25.2  37.2   6.6 134.4]
 [  7.4 339.8  10.  243.4  50.2]
 [ 17.2  44.4 423.8   9.4  32.4]
 [  8.  109.2   6.6  90.   67.8]
 [ 12.4  10.6   7.4   1.8  60.6]]",0.5099365133119866,0.5739777953582099,0.5324932523872471,80
5,LSTM TFIDF,0.5427060379021595,"[[5.240e+02 3.960e+01 6.540e+01 2.600e+00 1.472e+02]
 [6.400e+00 2.880e+02 9.160e+01 2.090e+02 6.140e+01]
 [2.140e+01 6.320e+01 2.668e+02 8.400e+00 8.760e+01]
 [3.000e+00 1.330e+02 5.520e+01 1.310e+02 2.760e+01]
 [3.400e+00 5.400e+00 6.000e+00 2.000e-01 2.160e+01]]",0.40778159848990025,0.49453560240574923,0.422635737078913,80
6,LSTM W2V,0.7994711326575584,"[[526.4  22.6   3.    2.   93.8]
 [  3.4 401.6  43.8  27.   34.6]
 [  4.6  20.6 433.    7.8   7.8]
 [  3.4  53.6   1.8 303.   59.2]
 [ 20.4  30.8   3.4  11.4 150. ]]",0.7645728590229999,0.7787661960890975,0.7683468489706331,80
7,LSTM Hybrid,0.8434552666372852,"[[519.2  12.6   8.6   1.   70.8]
 [  4.2 428.6  28.6  17.2  23.2]
 [  3.8  12.  441.    5.8   8.2]
 [  3.6  54.    3.2 323.8  42. ]
 [ 27.4  22.    3.6   3.4 201.2]]",0.827786055315317,0.8308993785873264,0.8384090862449625,80
8,LSTM BoW,0.7786451323463437,"[[492.8  18.8  21.6   2.4  80.6]
 [  4.8 405.4  10.4 127.   23.2]
 [  6.6  29.2 429.6   7.8  10.8]
 [  4.2  30.4   2.2 200.   15.2]
 [ 40.8  39.2  11.    7.2 207.8]]",0.7376765264929434,0.7548097739909176,0.757673908905282,120
9,LSTM TFIDF,0.7446388515029161,"[[4.792e+02 1.160e+01 1.000e+00 2.000e-01 8.040e+01]
 [3.200e+00 3.958e+02 1.880e+01 1.468e+02 1.920e+01]
 [1.000e+01 5.720e+01 4.114e+02 9.400e+00 4.800e+01]
 [2.000e-01 1.120e+01 6.000e-01 1.854e+02 2.000e+00]
 [5.660e+01 4.720e+01 4.300e+01 2.600e+00 1.880e+02]]",0.7000340952400143,0.7184285398396352,0.692906177329401,120
10,LSTM W2V,0.8784208165096455,"[[5.134e+02 1.180e+01 2.200e+00 4.000e-01 5.800e+01]
 [4.200e+00 4.284e+02 2.000e+01 4.400e+00 2.900e+01]
 [3.400e+00 1.320e+01 4.482e+02 4.800e+00 3.600e+00]
 [1.600e+00 3.720e+01 1.000e+00 3.332e+02 1.220e+01]
 [2.660e+01 3.240e+01 3.400e+00 1.600e+00 2.348e+02]]",0.8701650525193003,0.8722861073103477,0.8734572406274873,120
11,LSTM Hybrid,0.8749214894571559,"[[5.220e+02 1.640e+01 1.120e+01 4.000e-01 6.120e+01]
 [4.400e+00 4.246e+02 1.640e+01 1.360e+01 2.740e+01]
 [3.400e+00 9.800e+00 4.440e+02 4.000e+00 2.600e+00]
 [1.600e+00 4.140e+01 1.400e+00 3.218e+02 8.600e+00]
 [1.780e+01 3.080e+01 1.800e+00 4.600e+00 2.378e+02]]",0.8669874031961179,0.8674016109664382,0.8744538014505998,120
12,LSTM BoW,0.8515303791685701,"[[498.   22.8  21.    1.4  73.4]
 [  5.8 406.8  11.4   7.8  19.6]
 [  5.6  24.4 422.    4.6   5.8]
 [  3.2  26.    3.  318.8  14.8]
 [ 27.   33.4   8.4   5.6 218.4]]",0.8439838262703088,0.8445329350236099,0.8502883419182012,160
13,LSTM TFIDF,0.8431247144814984,"[[4.834e+02 1.760e+01 2.600e+00 4.000e-01 6.300e+01]
 [3.800e+00 4.154e+02 1.180e+01 1.900e+01 1.860e+01]
 [6.200e+00 3.200e+01 4.198e+02 6.800e+00 3.000e+01]
 [2.200e+00 1.340e+01 1.200e+00 3.106e+02 4.000e+00]
 [4.400e+01 3.500e+01 3.040e+01 1.400e+00 2.164e+02]]",0.8358495672577841,0.8353646600632372,0.839700902534289,160
