,Model,accuracy,confusion,f1,precision,recall,train_size
0,MLP Hybrid B,0.5182330012992638,"[[148.6  18.8  27.8   9.   24. ]
 [ 43.8 284.4  15.6  11.   14. ]
 [ 45.6  12.   52.   20.    9. ]
 [237.8 162.4 228.6 516.6 115. ]
 [ 63.2  15.6  27.   12.2 195. ]]",0.44886594642453287,0.49175641247781854,0.6158734132501608,40
1,MLP Hybrid B,0.6567650947553989,"[[323.4  30.8  61.4  17.4  23.8]
 [ 29.2 319.2  11.6   9.4  17.2]
 [ 46.2  17.6 100.   26.6   8.6]
 [ 85.4  96.6 136.6 487.2  41.2]
 [ 45.   20.8  35.8  17.6 260.4]]",0.624957019817896,0.6351447571103369,0.7076326791062785,80
2,MLP Hybrid B,0.7227456258411845,"[[359.   32.2  53.8  23.2  19.2]
 [ 37.2 355.2  22.2  11.6  20.8]
 [ 44.8  13.2 132.6  20.2   8.6]
 [ 62.2  61.6 115.2 486.6  18.2]
 [ 19.8  12.6  13.8   7.6 277.6]]",0.706688499787799,0.704298558217342,0.7450510900317762,120
3,MLP Hybrid B,0.7638190954773869,"[[378.2  31.2  50.4  19.6  13.6]
 [ 37.4 374.   20.2  14.4  18.2]
 [ 46.6  17.8 161.2  25.6   6.6]
 [ 27.2  27.6  80.4 466.4   7.6]
 [ 24.   15.2  19.8  13.6 292.2]]",0.7461670709819735,0.7513871632203082,0.7689103859965313,160
4,MLP Hybrid B,0.7616565844578874,"[[409.8  36.8  54.8  26.2  21.8]
 [ 22.4 358.   20.8   8.   26.6]
 [ 39.8  27.6 167.6  41.   24.4]
 [ 26.2  26.2  79.  451.    9.4]
 [  6.6   8.6   3.6   2.4 250.4]]",0.7452809854264417,0.7437117462286348,0.7849983297513528,200
5,MLP Hybrid B,0.7794215267899478,"[[396.2  27.2  46.8  16.   14.6]
 [ 16.6 356.2  10.6   8.2   9.8]
 [ 39.8  19.2 160.4  40.2   9. ]
 [ 31.   35.6  92.8 449.4  11.2]
 [ 11.8  11.4   8.    5.4 281.6]]",0.765218747382847,0.7658223304023238,0.7972868121567068,240
6,MLP Hybrid B,0.8085065248912517,"[[391.6  18.6  35.   14.8   9. ]
 [ 22.6 383.   20.   14.2  15.8]
 [ 47.8  19.  193.8  51.6  11.6]
 [ 12.8  12.2  58.  423.2   2. ]
 [ 12.2   8.6   6.2   4.2 281.2]]",0.8011926628241699,0.8011194530376745,0.8068326434063009,280
7,MLP Hybrid B,0.8059142434696895,"[[370.8  18.8  29.2  10.4   7.6]
 [  9.4 352.6   5.2   6.4   6.6]
 [ 66.4  28.6 209.8  56.2  14.8]
 [ 14.   19.6  54.6 419.    1.6]
 [ 16.6  12.4   7.4   8.  283. ]]",0.8013669191432164,0.8040050760452162,0.8077751419541743,320
8,MLP Hybrid B,0.8122674710910005,"[[402.2  25.6  60.6  23.6  14.8]
 [ 11.8 366.4  15.6  12.2  13. ]
 [ 29.4  12.2 151.8  25.2   8. ]
 [ 14.8  10.6  67.8 427.6   2.4]
 [  7.8   8.    5.6   4.4 267.6]]",0.7954590893324235,0.7955336463801121,0.8192231551975933,360
9,MLP Hybrid B,0.8096459722934839,"[[352.8  13.4  24.4   8.8   5.8]
 [ 23.4 362.4  19.8  10.4  13.8]
 [ 46.4  16.4 171.   35.8   9. ]
 [ 23.4  15.4  74.  426.6   3.2]
 [ 10.8   8.    5.2   3.6 265.2]]",0.7999686747139704,0.8002168282994532,0.8193202970091275,400
10,MLP Hybrid B,0.8198009429020431,"[[381.6  27.6  49.6  22.2  16. ]
 [  8.2 352.8  10.2   7.6   8.6]
 [ 39.6  14.  173.4  40.4   9. ]
 [ 11.8   7.6  52.2 399.6   1. ]
 [  5.4   6.2   4.    2.8 257.6]]",0.8121166619121265,0.8097887221761806,0.8274602032981221,440
11,MLP Hybrid B,0.8275013376136972,"[[362.4  14.   29.8  12.6   6.2]
 [  7.8 351.2   9.    7.6   6.6]
 [ 44.   12.6 175.8  43.4   8.2]
 [ 14.2  11.8  61.2 394.    1.4]
 [ 10.4   9.8   6.8   5.  263.2]]",0.8195099553396311,0.8210679506283027,0.8307203781141583,480
12,MLP Hybrid B,0.8101694915254237,"[[318.    5.8  13.6   7.    2.8]
 [ 12.6 348.    7.4   8.6   7.6]
 [ 77.4  24.4 216.8  88.2  13. ]
 [  9.8   4.8  32.6 344.8   1. ]
 [ 12.6   7.6   4.2   6.2 254.2]]",0.8114272812573871,0.8184184257993777,0.8275151154046496,520
13,MLP Hybrid B,0.8323085522638346,"[[342.4  11.6  26.4   8.8   5.2]
 [  7.8 332.6   5.8   4.4   6.6]
 [ 32.4   9.2 157.   20.8   5.2]
 [ 29.4  22.   75.  405.8   4.6]
 [  9.4   6.    4.2   5.2 251.2]]",0.8239395628258992,0.8203409721973772,0.8386694033440214,560
14,MLP Hybrid B,0.8357918810748999,"[[356.4  18.4  42.6  18.6   8.4]
 [  7.4 330.6   7.4   7.    7.6]
 [ 29.    9.4 160.4  36.4   6. ]
 [ 10.2   9.6  47.6 369.4   1.2]
 [  6.8   6.2   3.4   4.  245. ]]",0.8271978609177862,0.8263711293539548,0.8387047607868157,600
15,MLP Hybrid B,0.8428320655354009,"[[343.   12.2  34.2  14.4   5.6]
 [ 12.2 330.   11.2   7.    6. ]
 [ 23.6   6.4 151.   29.8   3.4]
 [ 13.2  10.   55.  369.2   1.8]
 [  8.8   6.4   3.2   4.2 247.2]]",0.8326205212093314,0.831925642982708,0.8461882900198427,640
16,MLP Hybrid B,0.835949670461354,"[[330.6  11.4  32.4  11.    5.4]
 [ 13.8 315.8  13.    8.4   7.8]
 [ 19.2   5.6 131.2  13.6   2.8]
 [ 20.4  18.6  68.4 379.    3.4]
 [  7.    5.2   2.8   3.6 238.6]]",0.823383008369953,0.8199107660273537,0.8463957699220168,680
17,MLP Hybrid B,0.8494782074892573,"[[326.2  12.6  28.   12.    5.2]
 [  8.  311.4   5.6   6.    4.2]
 [ 29.6   9.8 165.4  40.    5.8]
 [  8.8   8.2  41.4 344.8   0.8]
 [  8.    5.2   2.    4.  236. ]]",0.8436647968907588,0.8443643849777533,0.8462802814653969,720
18,MLP Hybrid B,0.8511013215859032,"[[311.4   9.4  22.2   9.    4. ]
 [ 12.2 312.2   9.8   8.    6.6]
 [ 27.4   5.6 150.4  27.2   3.6]
 [ 11.2   8.   50.8 348.4   1.8]
 [  7.6   5.4   3.    3.8 230. ]]",0.8424718128958422,0.8420599848621564,0.8481720906102691,760
19,MLP Hybrid B,0.8497094899935442,"[[306.4  10.2  22.2   9.4   4. ]
 [  6.  300.4   5.2   6.4   5.6]
 [ 30.2   9.2 152.2  34.8   4.4]
 [  9.2   7.   47.2 331.6   1.4]
 [  7.8   5.8   3.    3.8 225.6]]",0.8420876151204556,0.8429966688423199,0.8496580384226309,800
20,MLP Hybrid B,0.8324718356527502,"[[291.4   6.8  20.8   7.    2.8]
 [  6.2 278.6   3.6   4.6   4. ]
 [ 22.8   7.4 143.8  38.2   3.6]
 [ 15.   20.4  48.2 320.    2. ]
 [ 15.4  10.8   7.4   5.8 222.4]]",0.824550505061586,0.8268111822094297,0.8445138234642547,840
21,MLP Hybrid B,0.8499659632402995,"[[299.4  11.   34.6  15.4   7.2]
 [  7.6 287.8   7.8   6.    5.8]
 [ 18.    5.4 131.6  21.    4.2]
 [  9.4   8.   42.4 320.8   1.4]
 [  7.2   4.8   1.4   1.8 209. ]]",0.8401331890392209,0.8372754324520189,0.8535642359454296,880
22,MLP Hybrid B,0.8466060181945416,"[[279.4   6.2  19.4   7.8   4.6]
 [  5.2 278.6   4.    4.6   5. ]
 [ 29.2   7.8 151.2  41.2   5.4]
 [ 13.   11.2  36.4 297.2   2.2]
 [  6.2   5.2   1.6   3.  203.4]]",0.8426603106736984,0.8424336093538031,0.8512598018823129,920
23,MLP Hybrid B,0.8465082793376529,"[[278.6   9.   24.2   8.8   4.8]
 [  3.  264.6   2.2   2.8   3.6]
 [ 18.4   6.2 123.4  21.4   3.6]
 [ 15.6  13.8  54.2 309.8   3.8]
 [  7.8   6.    1.8   2.2 199.4]]",0.8366995675198886,0.8343025906179479,0.8549800082893931,960
24,MLP Hybrid B,0.8526315789473685,"[[260.    6.2  16.6   7.2   4.4]
 [ 11.2 269.6   4.4   6.8   6.6]
 [ 27.4   6.  139.2  25.6   5. ]
 [ 11.4   6.6  40.6 292.8   2.2]
 [  5.4   3.6   0.4   1.2 188.6]]",0.8468766898881446,0.8461835939020161,0.8533331972331089,1000
25,MLP Hybrid B,0.8473644003055767,"[[263.8   7.2  26.   12.8   5.8]
 [  7.6 262.    4.8   7.    5.6]
 [ 23.8   5.6 134.8  39.8   3.2]
 [  3.8   3.6  28.2 264.8   0.8]
 [  6.6   4.2   1.6   1.8 183.8]]",0.8419308513328344,0.8435499015628334,0.8472148501416701,1040
26,MLP Hybrid B,0.8595744680851063,"[[258.8   5.8  21.    9.6   4.2]
 [  6.6 254.2   5.    6.    5.6]
 [ 18.8   4.  127.6  25.2   4. ]
 [  8.    6.2  36.  270.6   1. ]
 [  5.6   4.    0.8   0.8 179.6]]",0.8529408448574645,0.852142482992136,0.8601364176692421,1080
