,Model,accuracy,confusion,f1,precision,recall,train_size
0,MLP TFIDF,0.38536162841056737,"[[ 98.2   5.8   7.2   3.    6.6]
 [ 23.8 138.4   8.2   4.6   8. ]
 [ 57.2  14.2  41.2  22.   13.4]
 [349.  332.  288.4 536.  253. ]
 [ 10.8   2.8   6.    3.2  76. ]]",0.2893507249122471,0.34775348190892874,0.5382239418408038,40
1,MLP TFIDF,0.4831203173204054,"[[2.314e+02 2.100e+01 4.680e+01 1.500e+01 4.140e+01]
 [2.100e+01 2.132e+02 1.520e+01 9.600e+00 1.320e+01]
 [2.000e+00 2.000e-01 1.160e+01 1.400e+00 4.000e-01]
 [2.514e+02 2.452e+02 2.504e+02 5.244e+02 1.806e+02]
 [2.340e+01 5.400e+00 2.140e+01 7.800e+00 1.156e+02]]",0.39497461301314707,0.43681290513541243,0.7313349696432219,80
2,MLP TFIDF,0.5856437864513235,"[[250.2  13.   31.2   8.6  22. ]
 [ 83.6 343.8  46.4  18.2  55.6]
 [ 15.4   3.   49.2   8.6   3.6]
 [160.6 112.6 205.  511.6 112.6]
 [ 13.2   2.4   5.8   2.2 150.6]]",0.5297076110068096,0.5442710467395069,0.7489608920584765,120
3,MLP TFIDF,0.6604842393787118,"[[329.   21.6  51.4  17.8  28. ]
 [ 53.2 360.2  43.6  13.8  37.4]
 [ 27.2   7.2  77.   14.6   7.6]
 [ 92.8  72.6 152.2 489.2  74.8]
 [ 11.2   4.2   7.8   4.2 190.4]]",0.6143647737241358,0.6245222216603162,0.756941104431973,160
4,MLP TFIDF,0.7058166589111214,"[[368.6  21.8  53.   14.2  26.8]
 [ 41.6 361.   37.4  15.8  26.2]
 [ 20.4   6.   85.   15.    7.8]
 [ 66.   62.6 143.  479.8  49.4]
 [  8.2   5.8   7.4   3.8 222.4]]",0.6668587192107825,0.6727801679623685,0.7726570209773032,200
5,MLP TFIDF,0.7485064011379801,"[[383.8  22.6  49.4  17.2  19.2]
 [ 32.8 367.8  32.2  14.6  22.2]
 [ 20.    5.8 113.4  15.8   8.8]
 [ 49.   46.2 116.2 466.4  28.8]
 [  9.8   7.2   7.4   5.2 247.2]]",0.7220821577492111,0.7221154817127896,0.7880862876550208,240
6,MLP TFIDF,0.7773803769937168,"[[389.4  21.2  43.4  15.4  15.6]
 [ 24.2 370.   26.8  13.8  15.8]
 [ 24.6   6.4 130.   17.8   8. ]
 [ 38.4  35.4 103.  455.2  16.4]
 [ 10.4   8.4   9.8   5.8 263.8]]",0.7562373359631482,0.755910708337378,0.7974696560457992,280
7,MLP TFIDF,0.7931986200098571,"[[382.8  23.   36.8  14.4  12.4]
 [ 18.6 362.8  19.6  12.6  12.4]
 [ 31.    8.  150.8  19.2  10.8]
 [ 33.2  30.2  89.  449.2  14.2]
 [ 11.6   8.   10.    4.6 263.8]]",0.7779325856462966,0.7757564161187691,0.8035640157902234,320
8,MLP TFIDF,0.8059326294620413,"[[384.8  24.6  40.   14.4  12.6]
 [ 20.2 365.4  19.6  16.   13.2]
 [ 29.2   8.2 158.8  23.4  10.2]
 [ 21.6  17.   73.4 432.2   8. ]
 [ 10.2   7.6   9.6   7.  261.8]]",0.7920651381297615,0.7906925915040224,0.8086522829667906,360
9,MLP TFIDF,0.8137506413545408,"[[380.4  25.6  37.2  12.8  12.2]
 [ 13.2 352.   14.8  10.8   8.8]
 [ 31.4  10.2 165.2  28.2   8.2]
 [ 21.   18.2  69.6 426.4   5.8]
 [ 10.8   9.6   7.6   7.  262. ]]",0.8019576973901451,0.8011325857233572,0.8134676142429249,400
