,Model,accuracy,confusion,f1,precision,recall,train_size
0,MLP W2V,0.27241229969683844,"[[ 72.4  43.6  29.6  35.6  34. ]
 [ 36.   49.8  21.6  27.8  14.2]
 [  6.6   3.6   1.4   3.2   1. ]
 [420.6 394.8 297.4 501.  303.4]
 [  3.4   1.4   1.    1.2   4.4]]",0.126551318196488,0.22676779457393087,0.2323793503138231,40
1,MLP W2V,0.3235786690171882,"[[8.680e+01 3.720e+01 2.980e+01 2.940e+01 3.100e+01]
 [7.220e+01 1.508e+02 2.800e+01 4.780e+01 3.960e+01]
 [6.000e-01 4.000e-01 6.000e-01 4.000e-01 0.000e+00]
 [3.534e+02 2.908e+02 2.794e+02 4.712e+02 2.558e+02]
 [1.620e+01 5.800e+00 7.600e+00 9.400e+00 2.480e+01]]",0.1974492953387665,0.27891015280091047,0.26949725827174453,80
2,MLP W2V,0.3603409600717811,"[[ 81.2  40.2  28.8  24.6  30.6]
 [172.2 282.4  79.  100.  106.8]
 [ 11.2   7.8   9.    3.8   3.2]
 [249.6 141.8 219.6 420.  193.2]
 [  8.8   2.6   1.2   0.8  10.6]]",0.23660935257638016,0.3150674910256907,0.427349134169968,120
3,MLP W2V,0.3788031064412974,"[[174.   79.6  85.   76.2  80.8]
 [139.6 263.6  65.4  91.6  99.8]
 [ 22.   14.4  23.4  18.4  11.4]
 [165.4 104.2 151.6 343.6 121.6]
 [ 12.4   4.    6.6   9.8  24.6]]",0.28022387944607924,0.33801342867097417,0.4332546208989931,160
4,MLP W2V,0.3848301535597952,"[[138.2  49.6  43.   31.6  39. ]
 [106.4 213.   50.4  63.   69.6]
 [ 13.4   4.4  14.8   2.6   5. ]
 [226.8 185.  210.8 426.  184. ]
 [ 20.    5.2   6.8   5.4  35. ]]",0.29687404104264026,0.34004817308850227,0.47625192334166166,200
5,MLP W2V,0.39212897107633954,"[[154.4  63.   58.2  54.   56.6]
 [148.  265.4  73.8  88.6 108.6]
 [ 27.2  17.4  27.6  16.6  16.2]
 [155.2 101.6 153.4 351.6 116.8]
 [ 10.6   2.2   5.6   8.4  28. ]]",0.3004234686004524,0.351832176973056,0.4116154676540873,240
6,MLP W2V,0.41034316094731754,"[[177.   71.4  73.   59.   56.2]
 [103.4 223.4  47.8  54.6  65.4]
 [  4.6   1.    6.4   1.4   1. ]
 [169.  131.2 164.4 373.6 128.4]
 [ 33.   14.4  21.4  19.4  68.6]]",0.3277721995683706,0.36920060221221046,0.41945910602165243,280
7,MLP W2V,0.4303597831444061,"[[197.6  70.2  74.4  54.8  65.2]
 [ 92.8 235.6  39.2  52.8  67.4]
 [ 15.2   3.8  20.    6.    6. ]
 [156.  118.4 161.2 372.8 127.8]
 [ 15.6   4.   11.4  13.6  47.2]]",0.353304696813316,0.3853925506792702,0.4270622003526162,320
8,MLP W2V,0.41649069884364,"[[196.6  71.6  79.6  81.   71.8]
 [121.  249.   66.6  80.4  91.4]
 [ 23.4  14.2  29.8  11.   15. ]
 [105.8  82.  114.4 304.8  79.4]
 [ 19.2   6.   11.   15.8  48.2]]",0.3467045050321316,0.37861469877004883,0.4697714884146392,360
9,MLP W2V,0.4469984607491021,"[[157.8  37.8  50.   39.8  34.4]
 [115.2 268.2  58.4  84.2  77.6]
 [ 31.6   9.   41.8  18.2  16.4]
 [103.4  81.2 116.4 306.8  72. ]
 [ 48.8  19.4  27.8  36.2  96.6]]",0.39840452378183555,0.4194744436093389,0.4489748835344619,400
10,MLP W2V,0.45238344683080145,"[[204.4  60.4  78.6  63.2  75. ]
 [ 95.2 262.8  51.4  78.6  68.2]
 [ 30.2   9.   37.4  15.8  12.8]
 [ 80.2  64.8  99.2 283.8  61. ]
 [ 36.6  11.2  22.8  31.2  75.2]]",0.3954169824233235,0.4195475838806055,0.4467726787900599,440
11,MLP W2V,0.4474050294275013,"[[196.6  63.   76.   60.   67.2]
 [ 64.6 221.4  32.   45.6  48.2]
 [ 25.8   6.2  29.2  14.6  10.4]
 [109.2  92.2 121.4 309.4  80.2]
 [ 42.6  16.6  24.   33.   79.6]]",0.38899811625580794,0.4123449511612892,0.4844568841593624,480
12,MLP W2V,0.4544559868780754,"[[195.4  55.4  70.8  49.6  62.6]
 [ 80.8 231.2  41.8  57.   54.4]
 [  9.2   1.6  12.2   2.    2.6]
 [107.2  91.  125.8 317.4  84. ]
 [ 37.8  11.4  24.   28.8  75. ]]",0.3832737902149449,0.41279281471603896,0.485239797057595,520
13,MLP W2V,0.4562325321408608,"[[182.2  46.8  62.8  47.4  55.8]
 [ 94.8 251.8  52.6  78.2  65.4]
 [ 25.2   5.   33.   12.8  12. ]
 [ 77.   62.6  93.8 266.   56.4]
 [ 42.2  15.2  26.2  40.6  83.2]]",0.3983463514727559,0.4263724539677116,0.46624766514089055,560
