,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,LSTM Hybrid A,0.31705607476635517,"[[3.376e+02 2.050e+02 4.000e+00 1.340e+02 2.560e+01 2.000e+00 3.240e+01]
 [4.000e-01 5.800e+00 2.000e-01 8.400e+00 1.800e+00 6.000e-01 1.400e+00]
 [2.372e+02 2.422e+02 4.560e+02 2.304e+02 2.710e+02 2.280e+02 1.840e+02]
 [0.000e+00 0.000e+00 0.000e+00 4.000e-01 0.000e+00 0.000e+00 0.000e+00]
 [1.080e+01 6.100e+01 5.020e+01 8.400e+01 1.674e+02 1.100e+01 1.212e+02]
 [3.120e+01 6.220e+01 2.740e+01 3.780e+01 1.640e+01 1.172e+02 1.120e+01]
 [2.000e-01 1.200e+00 0.000e+00 2.400e+00 1.200e+00 4.000e-01 1.200e+00]]",0.7310834407806397,0.20500770040686184,0.29746555554543896,0.29264339119982924,0.8935401439666748,40
1,LSTM Hybrid A,0.6126477541371159,"[[572.2 288.    8.6  93.4  56.6   8.   39. ]
 [ 18.4 145.    2.2  14.8  22.4   0.   23.4]
 [  2.6   6.8 436.2  16.6  72.2  50.4  23.4]
 [  1.8  15.6   1.4 297.   12.8   2.8   2.8]
 [  8.6  62.4  59.   36.2 256.    3.4 177.6]
 [  2.6   7.8  20.2  10.   13.8 288.2   3. ]
 [  2.2  45.6   4.8  23.8  44.6   1.2  78.6]]",0.6279771327972412,0.5669272778715676,0.5995128460972353,0.6120262353660433,0.8279306411743164,80
2,LSTM Hybrid A,0.7747009569377991,"[[5.210e+02 2.460e+01 5.000e+00 4.000e-01 3.840e+01 1.080e+01 1.120e+01]
 [6.340e+01 4.466e+02 5.200e+00 1.380e+01 4.000e+01 1.400e+00 5.420e+01]
 [2.200e+00 2.400e+00 4.402e+02 6.800e+00 4.200e+01 2.140e+01 2.100e+01]
 [1.000e+00 2.000e+00 2.000e+00 4.376e+02 7.200e+00 3.800e+00 1.800e+00]
 [6.200e+00 3.340e+01 5.500e+01 1.040e+01 2.520e+02 4.000e+00 6.920e+01]
 [2.600e+00 1.000e+00 9.000e+00 1.600e+00 1.180e+01 3.082e+02 1.400e+00]
 [4.800e+00 5.400e+01 8.200e+00 1.520e+01 8.260e+01 1.000e+00 1.850e+02]]",0.8466695308685303,0.7653011912942886,0.7639466008973956,0.7702679994599737,0.8154494285583496,120
3,LSTM Hybrid A,0.8056900726392252,"[[5.264e+02 2.100e+01 4.600e+00 8.000e-01 3.420e+01 8.800e+00 1.220e+01]
 [4.220e+01 4.362e+02 4.000e+00 1.600e+00 2.680e+01 1.000e+00 3.480e+01]
 [2.000e+00 1.400e+00 4.454e+02 9.000e+00 4.380e+01 8.800e+00 2.500e+01]
 [0.000e+00 2.800e+00 1.600e+00 4.534e+02 8.200e+00 3.600e+00 1.800e+00]
 [1.260e+01 4.000e+01 4.680e+01 7.800e+00 2.726e+02 2.800e+00 5.860e+01]
 [1.600e+00 4.000e-01 7.000e+00 1.600e+00 9.200e+00 3.214e+02 1.000e+00]
 [8.400e+00 5.700e+01 8.000e+00 5.600e+00 7.340e+01 2.000e-01 2.066e+02]]",1.0622535705566407,0.7982736051834065,0.7987092017915598,0.8015174279246784,0.796690559387207,160
4,LSTM Hybrid A,0.8200367647058824,"[[5.282e+02 2.840e+01 4.800e+00 1.600e+00 3.240e+01 6.200e+00 1.340e+01]
 [3.080e+01 4.268e+02 3.600e+00 2.400e+00 2.680e+01 1.600e+00 3.240e+01]
 [1.800e+00 8.000e-01 4.398e+02 8.400e+00 2.700e+01 9.800e+00 2.460e+01]
 [8.000e-01 2.000e+00 1.800e+00 4.472e+02 7.600e+00 3.800e+00 2.200e+00]
 [1.800e+01 3.400e+01 4.400e+01 9.000e+00 3.056e+02 5.400e+00 4.800e+01]
 [4.000e-01 6.000e-01 8.800e+00 1.800e+00 4.800e+00 3.150e+02 1.200e+00]
 [6.000e+00 5.900e+01 8.800e+00 4.400e+00 5.820e+01 0.000e+00 2.140e+02]]",1.4433981418609618,0.8141240463995352,0.8138572726805057,0.8190156021559375,0.7966997623443604,200
5,LSTM Hybrid A,0.8377171215880894,"[[5.342e+02 1.740e+01 3.800e+00 2.000e+00 3.060e+01 4.400e+00 1.200e+01]
 [2.740e+01 4.626e+02 4.400e+00 5.600e+00 3.480e+01 2.000e+00 3.980e+01]
 [2.600e+00 1.400e+00 4.316e+02 6.200e+00 2.880e+01 3.400e+00 2.180e+01]
 [4.000e-01 1.200e+00 3.000e+00 4.390e+02 7.800e+00 3.400e+00 1.800e+00]
 [8.200e+00 2.940e+01 4.320e+01 6.600e+00 2.960e+02 2.200e+00 3.940e+01]
 [1.200e+00 6.000e-01 6.800e+00 1.600e+00 1.040e+01 3.224e+02 1.600e+00]
 [7.200e+00 3.200e+01 1.180e+01 5.400e+00 4.960e+01 0.000e+00 2.150e+02]]",1.6714800357818604,0.8308059807154651,0.8307279702197377,0.8337341901291341,0.7841845035552979,240
6,LSTM Hybrid A,0.8494974874371859,"[[5.428e+02 2.240e+01 4.200e+00 2.600e+00 3.000e+01 2.800e+00 1.300e+01]
 [7.000e+00 4.424e+02 3.000e+00 1.040e+01 2.440e+01 2.000e-01 3.420e+01]
 [1.800e+00 1.400e+00 4.396e+02 3.800e+00 3.100e+01 5.200e+00 2.260e+01]
 [0.000e+00 8.000e-01 1.200e+00 4.300e+02 7.600e+00 3.400e+00 1.000e+00]
 [1.180e+01 2.960e+01 3.380e+01 4.400e+00 3.098e+02 2.600e+00 3.440e+01]
 [0.000e+00 2.000e-01 3.000e+00 1.000e+00 5.000e+00 3.198e+02 1.000e+00]
 [1.100e+01 4.200e+01 1.440e+01 8.000e+00 4.300e+01 0.000e+00 2.204e+02]]",1.8808173656463623,0.8434607367149607,0.842936850443713,0.8470340212190923,0.76856689453125,280
7,LSTM Hybrid A,0.8665394402035623,"[[5.374e+02 1.600e+01 5.600e+00 6.000e-01 2.040e+01 2.000e-01 1.040e+01]
 [9.200e+00 4.432e+02 2.800e+00 4.200e+00 1.980e+01 0.000e+00 3.040e+01]
 [1.200e+00 1.600e+00 4.300e+02 3.200e+00 1.740e+01 5.200e+00 1.660e+01]
 [2.000e-01 2.000e+00 1.200e+00 4.352e+02 5.600e+00 2.200e+00 1.200e+00]
 [9.400e+00 2.600e+01 3.000e+01 2.800e+00 3.264e+02 7.200e+00 2.420e+01]
 [2.000e-01 0.000e+00 4.400e+00 1.200e+00 4.000e+00 3.130e+02 4.000e-01]
 [9.400e+00 4.460e+01 1.920e+01 6.800e+00 5.200e+01 6.000e-01 2.392e+02]]",2.121389055252075,0.8614972338227582,0.862413731542089,0.8632403863652833,0.7685514450073242,320
8,LSTM Hybrid A,0.8779639175257732,"[[5.364e+02 1.320e+01 4.600e+00 0.000e+00 2.280e+01 2.000e-01 1.040e+01]
 [1.140e+01 4.498e+02 2.000e+00 1.200e+00 2.000e+01 0.000e+00 2.940e+01]
 [4.000e-01 2.000e+00 4.288e+02 5.000e+00 1.740e+01 5.600e+00 1.900e+01]
 [2.000e-01 3.800e+00 1.000e+00 4.342e+02 5.800e+00 2.800e+00 1.400e+00]
 [6.600e+00 2.700e+01 3.060e+01 1.600e+00 3.302e+02 8.600e+00 1.880e+01]
 [0.000e+00 0.000e+00 4.800e+00 1.000e+00 1.800e+00 3.060e+02 0.000e+00]
 [6.000e+00 2.920e+01 1.620e+01 6.200e+00 4.020e+01 6.000e-01 2.398e+02]]",2.4900479316711426,0.8728984211967588,0.8726941783632274,0.8746634255472759,0.7466898918151855,360
9,LSTM Hybrid A,0.8910574412532636,"[[5.380e+02 1.560e+01 6.000e+00 4.000e-01 2.280e+01 0.000e+00 1.240e+01]
 [2.800e+00 4.480e+02 3.600e+00 6.000e-01 1.620e+01 0.000e+00 2.580e+01]
 [1.200e+00 1.000e+00 4.276e+02 3.400e+00 2.000e+01 7.800e+00 1.380e+01]
 [2.000e-01 1.600e+00 1.400e+00 4.314e+02 7.400e+00 2.000e+00 1.600e+00]
 [5.800e+00 2.560e+01 2.700e+01 3.400e+00 3.424e+02 5.400e+00 2.120e+01]
 [0.000e+00 0.000e+00 3.600e+00 1.800e+00 1.800e+00 3.030e+02 0.000e+00]
 [4.800e+00 2.640e+01 1.360e+01 3.400e+00 2.240e+01 0.000e+00 2.398e+02]]",2.736866092681885,0.8866567451060383,0.8856581182554187,0.8886302842701648,0.7435686111450195,400
