,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,MLP BoW,0.31267523364485983,"[[201.6 120.   37.2  44.8  57.6  39.   54.4]
 [ 49.  124.8   9.8  25.6  27.6   7.6  17.6]
 [144.2  98.  299.2 122.  136.8  82.2 100.2]
 [ 41.6  65.2  16.6 114.6  26.8   7.8  15.8]
 [173.  149.  149.6 171.6 205.8 110.2 139.2]
 [  4.8   8.2  21.8  12.4  22.  110.2   9.8]
 [  3.2  12.2   3.6   6.4   6.8   2.2  14.4]]",2.335575819015503,0.2573074479021097,0.30129337614437723,0.46174519341952475,1.0672049522399902,40
1,MLP BoW,0.500886524822695,"[[395.   93.8  31.4  33.   82.2  27.6  69. ]
 [102.8 311.2  22.   70.   51.8  17.8  43.6]
 [  9.2  32.2 327.4  40.2  78.2  51.6  60.4]
 [  2.   25.4  30.  239.6  49.8   9.4  15.2]
 [ 83.8  88.  100.6  87.4 179.8  35.8 115.8]
 [  5.2   9.8  18.8  17.6  30.  209.8  11.6]
 [ 10.4  10.8   2.2   4.    6.6   2.   32.2]]",2.4713720321655273,0.4555102030314642,0.48088671235138236,0.5759921981282377,1.1094401359558106,80
2,MLP BoW,0.5739832535885168,"[[4.150e+02 9.800e+01 2.340e+01 2.220e+01 9.060e+01 1.280e+01 8.280e+01]
 [1.220e+02 3.756e+02 1.620e+01 3.600e+01 6.620e+01 1.100e+01 5.880e+01]
 [2.560e+01 2.940e+01 4.036e+02 4.320e+01 1.054e+02 5.480e+01 7.460e+01]
 [4.000e-01 1.360e+01 1.960e+01 3.092e+02 4.020e+01 5.600e+00 1.280e+01]
 [3.560e+01 4.100e+01 4.800e+01 5.620e+01 1.458e+02 2.180e+01 8.140e+01]
 [1.000e+00 3.400e+00 9.600e+00 1.340e+01 1.760e+01 2.430e+02 6.200e+00]
 [1.600e+00 3.000e+00 4.200e+00 5.600e+00 8.200e+00 1.600e+00 2.720e+01]]",2.801112699508667,0.5349378669464233,0.5495605651590056,0.6209136926705938,1.2289152145385742,120
3,MLP BoW,0.6238498789346247,"[[5.118e+02 1.096e+02 2.120e+01 1.960e+01 9.440e+01 1.080e+01 8.900e+01]
 [4.820e+01 3.598e+02 1.080e+01 1.920e+01 5.240e+01 7.600e+00 4.980e+01]
 [1.220e+01 2.240e+01 4.108e+02 3.560e+01 9.420e+01 4.020e+01 6.500e+01]
 [8.000e-01 1.560e+01 2.640e+01 3.396e+02 5.460e+01 1.000e+01 1.460e+01]
 [1.800e+01 3.960e+01 3.740e+01 4.860e+01 1.486e+02 2.540e+01 7.420e+01]
 [4.000e-01 5.000e+00 6.000e+00 1.340e+01 1.200e+01 2.502e+02 7.000e+00]
 [1.800e+00 6.800e+00 4.800e+00 3.800e+00 1.200e+01 2.400e+00 4.040e+01]]",2.9276695251464844,0.5810752077077181,0.5957931683528235,0.6534611287684065,1.3094863891601562,160
4,MLP BoW,0.6411764705882353,"[[4.946e+02 1.040e+02 2.540e+01 1.980e+01 1.030e+02 8.400e+00 8.880e+01]
 [6.920e+01 3.660e+02 1.160e+01 1.780e+01 5.480e+01 5.200e+00 5.300e+01]
 [5.000e+00 1.420e+01 3.900e+02 1.700e+01 5.040e+01 2.380e+01 4.440e+01]
 [8.000e-01 7.000e+00 2.000e+01 3.306e+02 3.280e+01 8.200e+00 1.120e+01]
 [1.440e+01 5.200e+01 5.460e+01 7.540e+01 1.982e+02 2.820e+01 8.500e+01]
 [2.000e-01 1.600e+00 5.800e+00 1.100e+01 9.800e+00 2.650e+02 5.000e+00]
 [1.800e+00 6.800e+00 4.200e+00 3.200e+00 1.340e+01 3.000e+00 4.840e+01]]",3.149629545211792,0.6108260480710812,0.6169871729866774,0.6800848562056145,1.4088510036468507,200
5,MLP BoW,0.665818858560794,"[[490.8  94.4  24.2  18.4 103.    6.2  81. ]
 [ 63.6 373.6   9.6   9.6  50.4   4.6  48.8]
 [  2.8  11.2 393.6  18.8  47.   17.4  36.2]
 [  0.8   8.   17.2 349.6  34.2   9.2  14.2]
 [ 18.4  43.8  45.2  54.4 183.6  22.8  66.8]
 [  0.6   3.    6.8  12.   15.2 275.8   4.8]
 [  4.2  10.6   8.    3.6  24.6   1.8  79.6]]",3.3253363609313964,0.6431722946940244,0.6459932138050267,0.6858130985058519,1.4422010421752929,240
6,MLP BoW,0.6763190954773869,"[[493.8  97.4  21.   18.2  96.8   6.   77.8]
 [ 60.2 360.6   8.8   6.4  41.4   2.4  41.6]
 [  1.8   8.2 379.4   9.4  30.6  10.4  26.4]
 [  0.6   6.8  18.4 352.4  33.    5.6   8.2]
 [ 13.6  49.6  51.8  57.  202.   25.6  83.6]
 [  0.6   4.2   6.2  11.4  16.4 282.    5.8]
 [  3.8  12.   13.6   5.4  30.6   2.   83.2]]",3.239347743988037,0.65756533176176,0.6581660617874261,0.6932937732738609,1.3121931076049804,280
7,MLP BoW,0.6908396946564885,"[[5.134e+02 1.040e+02 2.140e+01 1.720e+01 9.520e+01 4.600e+00 6.880e+01]
 [3.540e+01 3.560e+02 1.060e+01 9.200e+00 4.500e+01 1.600e+00 4.140e+01]
 [1.200e+00 7.600e+00 3.814e+02 1.380e+01 3.000e+01 7.400e+00 2.580e+01]
 [4.000e-01 5.800e+00 1.460e+01 3.380e+02 2.380e+01 6.000e+00 8.800e+00]
 [1.140e+01 4.560e+01 4.500e+01 5.960e+01 2.036e+02 2.840e+01 7.320e+01]
 [4.000e-01 2.600e+00 6.600e+00 1.180e+01 1.480e+01 2.786e+02 3.400e+00]
 [4.800e+00 1.180e+01 1.360e+01 4.400e+00 3.320e+01 1.800e+00 1.010e+02]]",3.4389600276947023,0.6757186979776388,0.673288146343682,0.7055032744147889,1.3621866226196289,320
8,MLP BoW,0.6874355670103094,"[[4.848e+02 9.340e+01 2.100e+01 1.560e+01 9.460e+01 4.000e+00 7.320e+01]
 [5.820e+01 3.624e+02 1.160e+01 7.600e+00 4.800e+01 3.000e+00 4.700e+01]
 [1.200e+00 6.200e+00 3.722e+02 8.600e+00 2.640e+01 7.200e+00 2.160e+01]
 [4.000e-01 3.600e+00 9.600e+00 3.368e+02 1.940e+01 4.200e+00 6.200e+00]
 [1.000e+01 4.340e+01 5.380e+01 6.440e+01 1.996e+02 2.320e+01 6.740e+01]
 [6.000e-01 2.200e+00 6.000e+00 1.080e+01 1.100e+01 2.784e+02 3.800e+00]
 [5.800e+00 1.380e+01 1.380e+01 5.400e+00 3.920e+01 3.800e+00 9.960e+01]]",3.5599083423614504,0.6746611121069563,0.6713867637197677,0.710124810290176,1.4121838092803956,360
9,MLP BoW,0.7152088772845953,"[[5.202e+02 9.260e+01 1.740e+01 1.320e+01 8.560e+01 2.400e+00 6.260e+01]
 [1.580e+01 3.510e+02 1.080e+01 5.200e+00 3.720e+01 2.000e+00 3.820e+01]
 [6.000e-01 5.600e+00 3.716e+02 9.400e+00 2.540e+01 6.200e+00 2.140e+01]
 [4.000e-01 4.200e+00 8.600e+00 3.430e+02 1.880e+01 3.800e+00 7.200e+00]
 [1.220e+01 5.060e+01 5.480e+01 5.980e+01 2.278e+02 2.540e+01 8.020e+01]
 [4.000e-01 2.000e+00 6.200e+00 1.000e+01 9.800e+00 2.756e+02 2.800e+00]
 [3.200e+00 1.220e+01 1.340e+01 3.800e+00 2.840e+01 2.800e+00 1.022e+02]]",3.7344820976257322,0.701395956418251,0.696990958686607,0.7342566515647777,1.4652998924255372,400
