,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,LSTM BoW,0.20216121495327105,"[[5.220e+01 8.260e+01 1.320e+01 5.860e+01 2.880e+01 4.000e-01 1.580e+01]
 [0.000e+00 2.000e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [2.784e+02 1.672e+02 2.932e+02 1.446e+02 2.144e+02 2.128e+02 1.610e+02]
 [1.018e+02 1.872e+02 1.780e+01 1.596e+02 5.180e+01 2.200e+00 5.560e+01]
 [1.850e+02 1.394e+02 2.128e+02 1.338e+02 1.864e+02 1.432e+02 1.182e+02]
 [0.000e+00 8.000e-01 8.000e-01 8.000e-01 2.000e+00 6.000e-01 8.000e-01]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]]",0.7880592823028565,0.08832364104161168,0.19169868565913867,0.1183501873534154,0.8029410362243652,40
1,LSTM BoW,0.25236406619385343,"[[5.842e+02 5.104e+02 4.540e+01 4.408e+02 2.082e+02 8.000e+00 2.286e+02]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [2.400e+01 6.060e+01 4.868e+02 5.080e+01 2.694e+02 3.460e+02 1.188e+02]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [2.000e-01 2.000e-01 2.000e-01 2.000e-01 8.000e-01 0.000e+00 4.000e-01]]",0.6011561393737793,0.10536185033634171,0.21782313292128647,0.0751598119961044,0.7279750347137451,80
2,LSTM BoW,0.3148923444976076,"[[5.528e+02 4.488e+02 3.000e+01 2.420e+02 1.650e+02 6.200e+00 1.624e+02]
 [8.000e-01 5.000e+01 1.400e+00 2.044e+02 1.600e+00 1.200e+00 2.800e+00]
 [2.000e-01 4.200e+00 1.834e+02 2.400e+00 2.560e+01 3.198e+02 1.280e+01]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [8.600e+00 2.440e+01 2.908e+02 1.680e+01 1.818e+02 2.000e+01 8.080e+01]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [3.880e+01 3.660e+01 1.900e+01 2.020e+01 1.000e+02 3.400e+00 8.500e+01]]",0.8125066757202148,0.20942702053272183,0.2842062957275184,0.1897528955702413,0.7154509544372558,120
3,LSTM BoW,0.4795399515738499,"[[5.094e+02 2.400e+02 1.480e+01 1.780e+01 8.200e+01 1.800e+00 8.440e+01]
 [3.780e+01 2.500e+02 8.000e+00 3.278e+02 3.820e+01 5.000e+00 2.480e+01]
 [6.000e-01 8.000e+00 4.106e+02 6.400e+00 4.120e+01 3.292e+02 2.980e+01]
 [0.000e+00 8.000e-01 4.000e-01 8.640e+01 1.400e+00 6.000e-01 2.000e-01]
 [1.260e+01 2.540e+01 6.800e+01 3.080e+01 2.034e+02 7.000e+00 7.620e+01]
 [0.000e+00 0.000e+00 0.000e+00 2.000e-01 0.000e+00 0.000e+00 0.000e+00]
 [3.280e+01 3.460e+01 1.560e+01 1.040e+01 1.020e+02 3.000e+00 1.246e+02]]",1.0246407508850097,0.38677487559520873,0.44004280590180933,0.3847167008783797,0.7289241313934326,160
4,LSTM BoW,0.64375,"[[5.422e+02 1.168e+02 8.400e+00 3.600e+00 5.220e+01 8.000e-01 6.020e+01]
 [9.800e+00 3.554e+02 9.200e+00 1.460e+01 3.880e+01 1.800e+00 2.460e+01]
 [8.000e-01 6.000e+00 4.090e+02 9.000e+00 4.180e+01 3.258e+02 2.920e+01]
 [6.000e-01 1.040e+01 3.600e+00 4.110e+02 1.420e+01 5.200e+00 4.000e+00]
 [1.200e+01 3.020e+01 6.720e+01 3.100e+01 2.358e+02 6.600e+00 7.000e+01]
 [0.000e+00 2.000e-01 2.000e-01 2.000e-01 2.000e-01 0.000e+00 0.000e+00]
 [2.060e+01 3.260e+01 1.400e+01 5.400e+00 7.940e+01 1.600e+00 1.478e+02]]",1.3918399810791016,0.5686533769773114,0.597908155820978,0.5585842244434702,0.6977027893066406,200
5,LSTM BoW,0.7161290322580645,"[[5.364e+02 7.220e+01 5.200e+00 2.000e+00 4.140e+01 2.000e-01 3.980e+01]
 [1.240e+01 3.938e+02 1.040e+01 1.320e+01 4.420e+01 2.000e-01 2.860e+01]
 [1.000e+00 2.600e+00 4.082e+02 4.000e+00 3.660e+01 2.038e+02 2.160e+01]
 [1.400e+00 9.400e+00 7.200e+00 4.184e+02 1.780e+01 7.000e+00 6.800e+00]
 [1.400e+01 3.700e+01 5.920e+01 2.360e+01 2.662e+02 4.600e+00 6.900e+01]
 [2.000e-01 1.000e+00 3.800e+00 2.200e+00 3.400e+00 1.216e+02 1.400e+00]
 [1.580e+01 2.860e+01 1.060e+01 3.000e+00 4.840e+01 4.000e-01 1.642e+02]]",1.624185037612915,0.6665531816311064,0.6842923576535547,0.6604307377082854,0.6967074871063232,240
6,LSTM BoW,0.792462311557789,"[[5.376e+02 5.860e+01 4.200e+00 1.600e+00 4.300e+01 0.000e+00 4.200e+01]
 [1.120e+01 4.030e+02 1.020e+01 1.200e+01 4.580e+01 2.000e-01 2.900e+01]
 [4.000e-01 2.400e+00 4.102e+02 2.000e+00 2.320e+01 5.600e+00 1.720e+01]
 [1.000e+00 6.000e+00 8.200e+00 4.214e+02 2.000e+01 6.400e+00 9.000e+00]
 [1.020e+01 3.480e+01 5.160e+01 1.660e+01 2.630e+02 2.400e+00 5.780e+01]
 [0.000e+00 8.000e-01 5.200e+00 1.800e+00 5.000e+00 3.194e+02 3.000e+00]
 [1.400e+01 3.320e+01 9.600e+00 4.800e+00 5.080e+01 0.000e+00 1.686e+02]]",1.8234287738800048,0.7828506468976393,0.7825295105695804,0.7881378928543435,0.681084394454956,280
7,LSTM BoW,0.8045801526717558,"[[5.294e+02 5.800e+01 3.600e+00 1.000e+00 3.540e+01 0.000e+00 3.260e+01]
 [1.100e+01 3.958e+02 1.060e+01 5.200e+00 4.260e+01 2.000e-01 2.800e+01]
 [2.000e-01 2.200e+00 4.120e+02 2.400e+00 2.780e+01 4.800e+00 1.920e+01]
 [4.000e-01 6.600e+00 8.200e+00 4.208e+02 1.880e+01 3.800e+00 6.400e+00]
 [8.800e+00 3.640e+01 4.560e+01 1.300e+01 2.666e+02 2.400e+00 4.700e+01]
 [0.000e+00 1.000e+00 5.600e+00 2.800e+00 4.400e+00 3.170e+02 1.200e+00]
 [1.720e+01 3.340e+01 7.600e+00 8.800e+00 5.000e+01 2.000e-01 1.880e+02]]",2.0177204608917236,0.7972931222341265,0.7978544511017207,0.8004626869108303,0.674833869934082,320
8,LSTM BoW,0.820360824742268,"[[5.144e+02 4.740e+01 1.600e+00 1.200e+00 2.820e+01 0.000e+00 2.900e+01]
 [1.560e+01 4.044e+02 9.200e+00 2.400e+00 4.020e+01 0.000e+00 2.640e+01]
 [6.000e-01 1.800e+00 4.166e+02 3.400e+00 2.100e+01 8.000e+00 1.780e+01]
 [2.000e-01 4.600e+00 6.600e+00 4.160e+02 1.700e+01 1.600e+00 3.600e+00]
 [1.340e+01 4.080e+01 4.160e+01 1.960e+01 2.900e+02 2.200e+00 4.680e+01]
 [0.000e+00 6.000e-01 4.000e+00 1.600e+00 6.600e+00 3.112e+02 1.400e+00]
 [1.680e+01 2.540e+01 8.400e+00 5.000e+00 3.520e+01 8.000e-01 1.938e+02]]",2.39713134765625,0.815089584234723,0.8140915882147501,0.8195528211827809,0.6686071395874024,360
9,LSTM BoW,0.8295691906005223,"[[5.144e+02 4.500e+01 2.000e+00 1.400e+00 3.180e+01 0.000e+00 2.560e+01]
 [8.800e+00 4.034e+02 1.040e+01 2.400e+00 3.760e+01 8.000e-01 2.300e+01]
 [1.200e+00 2.800e+00 4.076e+02 3.000e+00 2.080e+01 4.800e+00 1.760e+01]
 [6.000e-01 2.400e+00 5.600e+00 4.138e+02 1.440e+01 3.400e+00 1.600e+00]
 [1.220e+01 3.580e+01 4.320e+01 1.920e+01 2.940e+02 2.400e+00 4.320e+01]
 [0.000e+00 2.000e-01 5.400e+00 1.200e+00 4.800e+00 3.058e+02 8.000e-01]
 [1.560e+01 2.860e+01 8.600e+00 3.400e+00 2.960e+01 1.000e+00 2.028e+02]]",2.6132239818573,0.8254733546186408,0.8242309368738112,0.8298193142605113,0.6591983795166015,400
