,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,LSTM W2V,0.2433995327102804,"[[0.000e+00 2.000e-01 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00]
 [0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 0.000e+00 2.000e-01]
 [1.652e+02 1.924e+02 4.444e+02 2.470e+02 1.902e+02 2.598e+02 1.270e+02]
 [2.600e+00 1.140e+01 8.200e+00 9.940e+01 1.440e+01 8.000e-01 1.020e+01]
 [4.380e+02 3.452e+02 6.940e+01 1.336e+02 2.620e+02 7.180e+01 1.922e+02]
 [1.160e+01 2.760e+01 1.560e+01 1.740e+01 1.680e+01 2.680e+01 2.100e+01]
 [0.000e+00 6.000e-01 2.000e-01 0.000e+00 0.000e+00 0.000e+00 8.000e-01]]",0.7237284183502197,0.13821995235763504,0.23512330045346808,0.18596125598692187,0.536527681350708,40
1,LSTM W2V,0.5410756501182032,"[[4.250e+02 1.060e+02 1.020e+01 1.400e+00 1.084e+02 2.000e+00 4.940e+01]
 [3.380e+01 2.598e+02 7.000e+00 3.200e+00 5.180e+01 1.200e+00 1.126e+02]
 [1.200e+00 1.120e+01 3.392e+02 2.600e+01 6.980e+01 1.864e+02 2.460e+01]
 [5.200e+00 3.020e+01 6.580e+01 4.426e+02 5.500e+01 6.200e+00 4.720e+01]
 [1.382e+02 1.224e+02 4.100e+01 1.260e+01 1.726e+02 1.320e+01 6.400e+01]
 [8.000e-01 2.000e+00 6.280e+01 8.000e-01 4.800e+00 1.446e+02 2.800e+00]
 [4.200e+00 3.960e+01 6.400e+00 5.200e+00 1.600e+01 4.000e-01 4.720e+01]]",0.5393257141113281,0.46508277141194226,0.5142558696937478,0.5302074845213601,0.4576843738555908,80
2,LSTM W2V,0.7437799043062201,"[[5.282e+02 5.180e+01 4.800e+00 0.000e+00 4.560e+01 2.000e-01 1.940e+01]
 [6.040e+01 4.122e+02 8.000e+00 3.400e+00 6.320e+01 4.000e-01 1.026e+02]
 [1.200e+00 7.200e+00 4.102e+02 1.520e+01 6.700e+01 3.700e+01 2.420e+01]
 [8.000e-01 3.800e+00 1.520e+01 4.484e+02 1.640e+01 4.000e+00 1.400e+01]
 [9.200e+00 5.020e+01 5.900e+01 4.000e+00 2.444e+02 5.800e+00 4.220e+01]
 [0.000e+00 2.000e-01 1.920e+01 2.000e+00 7.600e+00 3.028e+02 4.000e-01]
 [1.400e+00 3.860e+01 8.200e+00 1.280e+01 2.980e+01 4.000e-01 1.410e+02]]",0.7101728916168213,0.7290663282438293,0.7292726873518696,0.7424715561269595,0.4530055046081543,120
3,LSTM W2V,0.8018765133171911,"[[5.452e+02 3.500e+01 4.000e+00 0.000e+00 2.960e+01 0.000e+00 1.320e+01]
 [2.920e+01 4.128e+02 5.000e+00 6.000e-01 3.480e+01 4.000e-01 5.160e+01]
 [1.600e+00 7.200e+00 4.212e+02 1.300e+01 4.420e+01 6.200e+00 2.420e+01]
 [0.000e+00 1.800e+00 7.800e+00 4.492e+02 1.400e+01 3.600e+00 1.080e+01]
 [1.200e+01 5.960e+01 5.840e+01 4.000e+00 2.916e+02 2.800e+00 4.280e+01]
 [6.000e-01 2.000e-01 1.040e+01 3.800e+00 1.120e+01 3.336e+02 1.600e+00]
 [4.600e+00 4.220e+01 1.060e+01 9.200e+00 4.280e+01 0.000e+00 1.958e+02]]",0.8864436149597168,0.7944413000848576,0.7956228057323204,0.7968092458166669,0.44891796112060545,160
4,LSTM W2V,0.8207107843137255,"[[5.330e+02 2.300e+01 4.400e+00 0.000e+00 3.260e+01 0.000e+00 1.240e+01]
 [3.140e+01 4.484e+02 7.200e+00 2.000e-01 3.520e+01 0.000e+00 5.020e+01]
 [8.000e-01 5.400e+00 4.182e+02 1.080e+01 3.580e+01 6.800e+00 2.640e+01]
 [2.000e-01 1.600e+00 7.000e+00 4.424e+02 8.800e+00 3.600e+00 3.600e+00]
 [1.300e+01 4.000e+01 5.940e+01 8.400e+00 3.090e+02 3.800e+00 4.240e+01]
 [8.000e-01 0.000e+00 6.000e+00 3.000e+00 6.400e+00 3.276e+02 6.000e-01]
 [6.800e+00 3.320e+01 9.400e+00 1.000e+01 3.460e+01 0.000e+00 2.002e+02]]",1.2541275501251221,0.8144608948570513,0.8135954450536005,0.8204438240863189,0.4456485271453857,200
5,LSTM W2V,0.8423697270471464,"[[5.402e+02 2.360e+01 4.200e+00 0.000e+00 2.880e+01 0.000e+00 1.240e+01]
 [2.220e+01 4.440e+02 4.800e+00 0.000e+00 3.220e+01 0.000e+00 4.460e+01]
 [4.000e-01 4.000e+00 4.230e+02 6.400e+00 2.340e+01 7.000e+00 1.960e+01]
 [2.000e-01 1.000e+00 5.000e+00 4.468e+02 8.600e+00 3.200e+00 3.000e+00]
 [1.100e+01 3.700e+01 4.380e+01 6.600e+00 3.178e+02 3.200e+00 3.120e+01]
 [0.000e+00 0.000e+00 4.000e+00 1.800e+00 8.000e+00 3.244e+02 1.000e+00]
 [7.200e+00 3.500e+01 1.980e+01 4.800e+00 3.920e+01 0.000e+00 2.196e+02]]",1.4940996646881104,0.8369945509385477,0.8369276134261971,0.8393962929057726,0.46552062034606934,240
6,LSTM W2V,0.8631909547738694,"[[5.428e+02 2.520e+01 4.200e+00 0.000e+00 2.620e+01 0.000e+00 1.400e+01]
 [1.080e+01 4.500e+02 3.200e+00 0.000e+00 2.380e+01 0.000e+00 4.120e+01]
 [4.000e-01 4.400e+00 4.386e+02 4.400e+00 2.480e+01 8.600e+00 2.140e+01]
 [0.000e+00 0.000e+00 2.400e+00 4.432e+02 4.800e+00 1.800e+00 1.200e+00]
 [1.080e+01 3.540e+01 3.140e+01 7.800e+00 3.366e+02 1.800e+00 3.200e+01]
 [0.000e+00 0.000e+00 3.400e+00 2.000e+00 4.600e+00 3.218e+02 1.400e+00]
 [9.600e+00 2.380e+01 1.600e+01 2.800e+00 3.000e+01 0.000e+00 2.154e+02]]",1.643352460861206,0.857231329068917,0.8559642245034127,0.8602901956000537,0.434281587600708,280
7,LSTM W2V,0.8714376590330788,"[[544.4  30.6   3.8   0.   26.6   0.   15. ]
 [  7.  448.6   4.4   0.   20.2   0.   32.2]
 [  0.    4.2 431.    3.6  25.    5.6  19.8]
 [  0.    0.    3.2 438.2   5.6   2.4   1.4]
 [  7.4  26.4  31.6  10.  331.6   1.6  25.6]
 [  0.    0.    4.2   1.    4.  318.8   1.2]
 [  8.2  23.6  15.    1.2  32.6   0.  227.2]]",1.7990668296813965,0.8664096012600645,0.8657339256855396,0.8700303386794175,0.44364352226257325,320
8,LSTM W2V,0.878479381443299,"[[5.368e+02 1.880e+01 2.800e+00 0.000e+00 2.300e+01 0.000e+00 1.400e+01]
 [1.040e+01 4.464e+02 4.000e+00 0.000e+00 1.960e+01 0.000e+00 3.580e+01]
 [8.000e-01 3.800e+00 4.376e+02 6.600e+00 1.960e+01 4.600e+00 1.960e+01]
 [0.000e+00 0.000e+00 2.200e+00 4.278e+02 4.000e+00 1.800e+00 1.000e+00]
 [7.400e+00 3.380e+01 2.380e+01 1.260e+01 3.406e+02 8.000e-01 2.460e+01]
 [4.000e-01 4.000e-01 3.200e+00 8.000e-01 3.600e+00 3.162e+02 2.400e+00]
 [5.200e+00 2.180e+01 1.440e+01 1.400e+00 2.780e+01 4.000e-01 2.214e+02]]",2.1932498455047607,0.8731873420033164,0.8720870275498014,0.8765686091090903,0.4280237197875977,360
9,LSTM W2V,0.8883812010443866,"[[5.308e+02 1.720e+01 2.800e+00 0.000e+00 1.820e+01 0.000e+00 1.220e+01]
 [7.600e+00 4.468e+02 3.800e+00 0.000e+00 1.480e+01 0.000e+00 3.320e+01]
 [6.000e-01 2.600e+00 4.250e+02 1.600e+00 1.660e+01 2.800e+00 1.400e+01]
 [6.000e-01 4.000e-01 5.000e+00 4.330e+02 6.400e+00 4.600e+00 1.200e+00]
 [7.400e+00 3.280e+01 2.880e+01 7.800e+00 3.470e+02 1.200e+00 2.220e+01]
 [2.000e-01 0.000e+00 3.200e+00 6.000e-01 1.400e+00 3.096e+02 2.000e+00]
 [5.600e+00 1.840e+01 1.420e+01 1.400e+00 2.860e+01 0.000e+00 2.298e+02]]",2.3630143642425536,0.8839033107644975,0.883171667460012,0.8860790445344937,0.42490348815917967,400
