,Model,accuracy,confusion,execution_time,f1,precision,recall,test_time,train_size
0,SVM BoW,0.4637266355140186,"[[4.004e+02 4.880e+01 9.620e+01 9.800e+01 1.008e+02 2.100e+02 4.220e+01]
 [8.800e+00 3.264e+02 4.420e+01 3.540e+01 7.500e+01 3.040e+01 4.680e+01]
 [4.000e-01 1.180e+01 1.988e+02 9.200e+00 3.080e+01 9.000e+00 4.400e+00]
 [7.380e+01 9.400e+00 1.360e+01 5.540e+01 3.200e+01 1.440e+01 5.200e+00]
 [8.440e+01 1.046e+02 1.070e+02 1.098e+02 1.844e+02 7.740e+01 5.700e+01]
 [4.600e+01 1.620e+01 2.180e+01 3.120e+01 3.520e+01 2.296e+02 1.080e+01]
 [3.600e+00 2.060e+01 1.580e+01 1.240e+01 2.520e+01 6.600e+00 1.928e+02]]",0.04334378242492676,0.43586669432310676,0.4476013094477084,0.5429986964220939,0.11703996658325196,40
1,SVM TFIDF,0.4508177570093458,"[[265.6  20.4  22.6  52.6  47.  127.6   6.8]
 [ 19.  338.2  58.6  47.   86.4  41.   52. ]
 [  2.4  13.6 213.    7.4  25.2   4.8   5. ]
 [ 16.6  13.2  16.8  54.2  34.2  24.4   4.6]
 [ 89.6  96.4 126.6 112.6 184.4  99.2  58.6]
 [102.8  19.8  31.4  45.   49.4 266.   10. ]
 [121.4  36.2  28.4  32.6  56.8  14.4 222.2]]",0.002385663986206055,0.43317536657239974,0.443732071424057,0.5210001292810327,0.055140113830566405,40
2,SVM W2V,0.27032710280373834,"[[306.   31.8  22.8  22.4  40.   61.4  29.6]
 [ 49.6 179.6 125.6  86.6 107.4 116.8 101.2]
 [ 37.   62.  120.   47.2  58.2  74.6  29.6]
 [ 12.2  20.6  24.2  27.8  29.   39.4   7.6]
 [ 90.2 163.  115.2 109.2 171.4 177.6 111.8]
 [ 45.8  58.8  67.2  39.4  50.4  76.4  35. ]
 [ 76.6  22.   22.4  18.8  27.   31.2  44.4]]",0.017261266708374023,0.22508058199698802,0.25207527059818857,0.3035484942122477,0.4302683353424072,40
3,SVM Hybrid,0.4203271028037383,"[[427.4  15.2   8.6  29.8  44.4 144.2  20.4]
 [ 15.6 314.6  88.4  68.6  81.2  65.   64.4]
 [ 10.8  31.4 158.8  31.4  35.6  39.8  13.2]
 [ 15.4  16.   35.6  67.   42.8  49.8  11.4]
 [ 36.4 119.  136.2 111.  205.8 149.6  82.4]
 [ 52.4  29.8  50.6  35.2  50.  116.8  18.6]
 [ 59.4  11.8  19.2   8.4  23.6  12.2 148.8]]",0.05472908020019531,0.3856473326625411,0.4047828926532576,0.48251637986971796,1.5747585773468018,40
4,SVM Hybrid B,0.47739485981308416,"[[453.4  30.6  65.4  73.6  70.4 237.8  42. ]
 [  7.4 320.4  47.   48.   79.8  40.   47.8]
 [  0.6  13.4 218.2   7.6  24.    9.4   3.8]
 [ 35.6  26.   22.4  80.4  56.4  24.8  12.8]
 [ 39.6 118.2  98.4 101.8 188.8  76.   53. ]
 [ 45.8  17.8  27.6  32.8  42.6 183.    9.4]
 [ 35.   11.4  18.4   7.2  21.4   6.4 190.4]]",0.02122015953063965,0.4552396596983697,0.4626723123634358,0.5290131213597924,0.869484806060791,40
5,SVM BoW,0.571808510638298,"[[539.4  68.6  73.4 138.4 158.2 152.   27.4]
 [  1.6 339.6  25.   25.8  49.   16.8  42. ]
 [  0.6  20.  291.   11.8  48.2   7.4   6.8]
 [  3.4   6.    4.8  47.6  13.   11.    2.4]
 [  6.6  65.2  58.8  71.6 142.   48.4  18.4]
 [ 55.8  17.2  22.8  44.6  49.2 327.    8.6]
 [  1.   15.8  16.    8.   18.8   8.6 248.4]]",0.012635183334350587,0.5374733380361025,0.5469315345829318,0.6208424143739215,0.07686381340026856,80
6,SVM TFIDF,0.5630614657210401,"[[370.6  24.8  21.8  66.8  83.   72.8   6. ]
 [  7.  362.   25.2  41.   65.6  25.8  35.8]
 [  1.2  20.8 299.8  12.4  46.8   7.2   8.6]
 [ 11.4   9.2   9.8  64.2  19.6  15.6   3. ]
 [ 28.6  72.8  71.6  84.4 159.   57.8  18.6]
 [183.4  20.8  38.6  61.8  68.8 379.6  11.8]
 [  6.2  22.   25.   17.2  35.6  12.4 270.2]]",0.005145883560180664,0.5390879282588135,0.5497712868584509,0.5845869102985815,0.03550090789794922,80
7,SVM W2V,0.33971631205673763,"[[409.   46.6  39.4  31.2  58.8  68.6  41.6]
 [ 25.  178.4  76.4  75.2  89.4  89.4  82.4]
 [ 37.   64.6 188.6  50.   68.6  85.2  41.4]
 [ 10.8  26.4  10.6  33.8  25.8  32.2  12.6]
 [ 51.6 120.8  89.   73.4 130.  102.6  79.6]
 [ 41.8  57.   61.6  52.8  68.6 149.   35.6]
 [ 33.2  38.6  26.2  31.4  37.2  44.2  60.8]]",0.03463163375854492,0.2850937294628208,0.3140927702776917,0.3274711003108834,0.46141204833984373,80
8,SVM Hybrid,0.5526595744680851,"[[528.4  18.    7.4  36.   63.4 110.2  14.6]
 [  6.  337.   28.   51.   67.2  37.4  40.2]
 [  9.2  34.  295.2  27.   47.6  47.6  19.6]
 [  9.4  19.6  13.4  82.6  28.2  36.6  10.8]
 [ 25.6  78.6  79.8  88.2 182.6  90.6  31.2]
 [ 23.6  28.   50.   46.4  62.8 225.   18.2]
 [  6.2  17.2  18.   16.6  26.6  23.8 219.4]]",0.04970006942749024,0.5203479245173807,0.5343290103491103,0.5724697620891874,1.385329580307007,80
9,SVM Hybrid B,0.5865839243498817,"[[564.8  34.4  43.6  95.4 105.2 202.8  17.6]
 [  2.4 348.8  25.   32.4  59.4  18.2  28.4]
 [  1.2  22.4 304.2  11.6  42.4   7.6   9. ]
 [  8.4  13.6  10.6  76.4  32.4  19.2   5.4]
 [ 20.8  84.   69.2  90.2 175.4  60.2  21.2]
 [ 10.   15.4  23.6  32.4  45.6 253.2  10.2]
 [  0.8  13.8  15.6   9.4  18.   10.  262.2]]",0.03232574462890625,0.5636240118000944,0.5679644276957366,0.6169079386492303,0.7596834659576416,80
10,SVM BoW,0.6175239234449761,"[[5.274e+02 4.760e+01 4.220e+01 1.324e+02 1.518e+02 1.398e+02 1.300e+01]
 [2.400e+00 3.782e+02 2.380e+01 3.240e+01 5.800e+01 1.520e+01 2.020e+01]
 [8.000e-01 2.640e+01 3.474e+02 1.460e+01 5.460e+01 1.160e+01 4.200e+00]
 [3.200e+00 1.020e+01 6.400e+00 5.500e+01 1.900e+01 8.400e+00 2.200e+00]
 [4.800e+00 3.860e+01 3.440e+01 5.500e+01 1.180e+02 3.620e+01 1.400e+01]
 [6.220e+01 1.500e+01 1.800e+01 4.960e+01 6.000e+01 3.480e+02 6.000e+00]
 [4.000e-01 8.600e+00 1.360e+01 4.800e+00 1.260e+01 4.800e+00 2.910e+02]]",0.022256994247436525,0.5851697931795513,0.595953466184818,0.6366318870223922,0.09286541938781738,120
11,SVM TFIDF,0.6270933014354066,"[[446.   16.6  12.6  67.   84.2  82.2   6.4]
 [  6.8 400.6  25.8  44.4  69.8  19.   23. ]
 [  3.   21.2 349.2  12.4  42.   10.2   6.2]
 [ 11.6  11.4  10.   72.4  27.2  11.2   2. ]
 [ 22.2  46.6  46.4  69.  144.8  44.6  11.2]
 [110.   16.8  25.4  67.6  80.2 390.    7.8]
 [  1.6  11.4  16.4  11.   25.8   6.8 294. ]]",0.0070343494415283205,0.6007205037130341,0.6104406232681839,0.6295144721571619,0.04013137817382813,120
12,SVM W2V,0.39324162679425834,"[[437.4  49.   28.2  32.8  65.   70.8  44.4]
 [ 26.2 242.6  80.2  96.6 116.  100.6  81.6]
 [ 28.   74.2 254.8  49.6  74.4  79.   57.6]
 [  7.8  19.6  12.8  29.2  26.6  19.6  11.4]
 [ 21.4  54.4  40.4  40.8  69.8  49.8  43. ]
 [ 59.2  60.   47.4  69.   89.  208.8  40.2]
 [ 21.2  24.8  22.   25.8  33.2  35.4  72.4]]",0.046799659729003906,0.338548792581834,0.361008465634414,0.3709732806117021,0.3763561725616455,120
13,SVM Hybrid,0.6146531100478468,"[[520.8  12.    4.4  35.6  62.4  83.8   7. ]
 [  6.8 370.2  24.   53.8  72.4  27.   23. ]
 [  6.4  31.  344.6  23.4  42.6  38.2  13. ]
 [ 10.6  16.2  10.6  86.2  33.4  29.6   6.8]
 [ 14.4  57.4  54.2  69.2 156.   66.4  17.8]
 [ 40.6  24.4  30.8  64.6  88.  308.   13.4]
 [  1.6  13.4  17.2  11.   19.2  11.  269.6]]",0.07428030967712403,0.5894060201794243,0.5969607755383792,0.6067935122792482,1.4461576461791992,120
14,SVM Hybrid B,0.6325956937799043,"[[547.4  29.   21.4  89.8 101.6 151.2   6.6]
 [  3.2 375.2  16.6  37.8  57.8  16.6  15.6]
 [  1.   27.  349.4  12.4  43.2  11.6   4.4]
 [ 10.   12.8   9.6  76.   33.8  21.    3.2]
 [ 12.   56.4  55.4  75.6 167.4  51.8  19.8]
 [ 26.8  15.8  20.4  47.   57.2 306.6   7.6]
 [  0.8   8.4  13.    5.2  13.    5.2 293.4]]",0.048410654067993164,0.608277238292923,0.6145078249997346,0.6398883674950763,0.7569914340972901,120
15,SVM BoW,0.6491525423728813,"[[5.596e+02 4.120e+01 3.540e+01 1.208e+02 1.408e+02 1.524e+02 8.000e+00]
 [2.200e+00 3.936e+02 2.100e+01 3.340e+01 4.880e+01 1.060e+01 1.880e+01]
 [8.000e-01 2.020e+01 3.536e+02 1.300e+01 4.720e+01 9.600e+00 7.400e+00]
 [3.400e+00 1.020e+01 5.000e+00 6.920e+01 2.340e+01 1.220e+01 1.800e+00]
 [7.800e+00 3.420e+01 3.480e+01 5.900e+01 1.478e+02 3.820e+01 1.500e+01]
 [1.920e+01 1.200e+01 1.560e+01 4.040e+01 4.680e+01 3.298e+02 4.400e+00]
 [2.000e-01 6.000e+00 1.440e+01 4.200e+00 1.340e+01 6.000e+00 2.912e+02]]",0.04206562042236328,0.6209185453224485,0.6273786469862926,0.6636584883149198,0.07110471725463867,160
16,SVM TFIDF,0.6397094430992736,"[[410.   15.2  10.6  58.   79.6  85.    4.6]
 [  7.8 410.6  22.8  42.   54.8  12.8  15. ]
 [  1.4  19.6 360.   12.4  41.8  10.2   6.2]
 [ 12.   10.2   6.6  91.   33.8  18.6   1.2]
 [ 23.   37.6  40.2  62.2 161.4  42.8  11.8]
 [137.   15.6  22.   63.6  69.6 380.4   7.6]
 [  2.    8.6  17.6  10.8  27.2   9.  300.2]]",0.025533676147460938,0.621513121178227,0.6281026172581001,0.642041418333406,0.04349355697631836,160
17,SVM W2V,0.40720338983050847,"[[449.2  49.4  26.   31.4  59.   74.2  39.4]
 [ 28.  243.   75.4  90.8 117.2  99.4  77.2]
 [ 21.8  78.6 261.2  50.4  81.6  79.8  57.6]
 [ 10.8  23.2  13.   37.6  30.2  22.8  16. ]
 [ 23.4  49.   40.2  42.   74.4  52.6  41. ]
 [ 47.6  54.6  42.4  61.   80.4 200.2  35.6]
 [ 12.4  19.6  21.6  26.8  25.4  29.8  79.8]]",0.061087512969970705,0.35854967605700927,0.3760918426251338,0.379906903488046,0.35784025192260743,160
18,SVM Hybrid,0.633958837772397,"[[516.6  11.    3.4  32.   53.   95.2   6. ]
 [  8.8 380.2  19.6  51.   61.6  23.4  16.2]
 [  4.6  29.4 352.6  24.6  50.4  32.6  12.2]
 [ 11.   17.2   8.6 102.8  37.4  36.6   5.2]
 [ 16.2  48.4  50.4  59.6 172.8  61.8  21.4]
 [ 34.8  21.   28.2  56.2  77.4 298.   14. ]
 [  1.2  10.2  17.   13.8  15.6  11.2 271.6]]",0.09542803764343262,0.613996061679021,0.6186702686537695,0.6225490549664935,1.3435587882995605,160
19,SVM Hybrid B,0.6544794188861985,"[[537.4  24.   16.8  69.8  84.2 156.8   3.4]
 [  3.6 383.6  10.8  33.2  39.8  11.6  11. ]
 [  1.2  19.6 351.   12.2  41.6  10.8   7.8]
 [  9.8  13.6   7.   96.2  34.8  23.    2.8]
 [ 23.8  55.4  60.2  81.4 210.6  53.6  27. ]
 [ 16.8  14.2  18.8  42.6  45.4 296.4   7.4]
 [  0.6   7.   15.2   4.6  11.8   6.6 287.2]]",0.06736669540405274,0.6382960392196096,0.6388825833558048,0.6649296970456969,0.7385429382324219,160
20,SVM BoW,0.6660539215686274,"[[5.532e+02 3.660e+01 3.220e+01 1.116e+02 1.356e+02 1.398e+02 7.000e+00]
 [2.400e+00 3.966e+02 9.200e+00 3.180e+01 3.760e+01 8.200e+00 1.340e+01]
 [4.000e-01 1.600e+01 3.532e+02 1.140e+01 3.800e+01 6.600e+00 4.000e+00]
 [3.000e+00 8.400e+00 5.600e+00 7.540e+01 2.540e+01 1.400e+01 2.800e+00]
 [1.160e+01 3.780e+01 4.780e+01 5.700e+01 1.604e+02 3.780e+01 1.500e+01]
 [1.540e+01 1.120e+01 1.340e+01 4.460e+01 5.180e+01 3.410e+02 5.400e+00]
 [0.000e+00 5.000e+00 1.340e+01 4.000e+00 1.360e+01 4.200e+00 2.942e+02]]",0.03259778022766113,0.6406420326520142,0.6450410043165526,0.6806382794876881,0.0816542625427246,200
21,SVM TFIDF,0.6618259803921568,"[[443.6  15.8  11.   55.8  80.   77.8   4.4]
 [  6.6 411.   14.6  40.4  51.2  12.4  15. ]
 [  1.   13.6 355.6  10.2  33.8   6.6   6.6]
 [  6.4  10.2   5.8  97.6  36.4  19.4   2.6]
 [ 19.   36.4  50.   59.8 165.2  37.   10.2]
 [105.4  15.4  20.6  63.8  72.4 392.4   8.2]
 [  4.    9.2  17.2   8.2  23.4   6.  294.8]]",0.020351982116699217,0.6423832229819995,0.6477249474185169,0.6642154349077757,0.03818144798278809,200
22,SVM W2V,0.43008578431372546,"[[457.8  46.2  19.   31.6  57.2  73.6  36.4]
 [ 24.  238.4  57.8  78.8 101.6  76.2  62.6]
 [ 21.2  76.6 271.   51.6  81.8  76.2  55.8]
 [  8.4  19.   11.4  36.2  34.4  24.4  14.8]
 [ 22.2  53.8  41.8  46.8  76.2  40.6  43. ]
 [ 41.6  57.2  53.2  64.6  85.8 232.2  37.2]
 [ 10.8  20.4  20.6  26.2  25.4  28.4  92. ]]",0.07618212699890137,0.38193215249654655,0.3977053651646284,0.3953949272071635,0.3482769012451172,200
23,SVM Hybrid,0.6520220588235294,"[[515.   12.2   2.4  29.6  51.   83.4   4.8]
 [  7.  378.   14.4  41.8  52.2  22.4  16. ]
 [  3.8  22.4 348.4  20.8  42.8  26.    9.6]
 [ 12.8  17.6   9.2 108.6  42.6  34.4   6.2]
 [ 15.2  52.   55.4  62.4 180.6  55.4  18.4]
 [ 31.2  21.8  30.2  62.8  80.4 322.4  11.6]
 [  1.    7.6  14.8   9.8  12.8   7.6 275.2]]",0.12122440338134766,0.6347767195727088,0.6367190585735449,0.6433314385361012,1.3274871826171875,200
24,SVM Hybrid B,0.6675245098039216,"[[534.6  20.2  17.   63.   79.8 139.6   3.2]
 [  3.4 380.2   8.4  31.8  35.6  10.6  10.6]
 [  1.   18.8 347.4  10.   33.2   8.4   3.8]
 [ 10.4  13.4   7.8  98.   38.8  23.6   2.4]
 [ 18.   60.2  63.   84.4 215.8  51.   27. ]
 [ 17.   12.4  17.   44.8  49.  315.4   7.4]
 [  1.6   6.4  14.2   3.8  10.2   3.  287.4]]",0.08490824699401855,0.6531186560416015,0.6514080411397887,0.677111733894117,0.7240535736083984,200
25,SVM BoW,0.6843672456575682,"[[5.472e+02 3.120e+01 2.400e+01 9.760e+01 1.286e+02 1.172e+02 5.000e+00]
 [2.000e+00 3.996e+02 1.720e+01 3.160e+01 4.400e+01 1.020e+01 1.200e+01]
 [2.000e-01 1.100e+01 3.594e+02 1.060e+01 3.160e+01 6.600e+00 4.000e+00]
 [4.200e+00 1.300e+01 4.800e+00 9.120e+01 3.220e+01 1.600e+01 2.200e+00]
 [5.600e+00 3.200e+01 3.700e+01 4.940e+01 1.528e+02 3.060e+01 1.240e+01]
 [2.180e+01 1.080e+01 1.020e+01 4.640e+01 5.280e+01 3.592e+02 5.200e+00]
 [2.000e-01 7.000e+00 1.380e+01 4.600e+00 1.600e+01 4.800e+00 2.970e+02]]",0.10364174842834473,0.6594343630203398,0.6647579383616656,0.6899054349210804,0.08123350143432617,240
